Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Bulgaria, +4734, +185, 688.2756731623955, 26.89712706697152, 11.810493226554899, 6_878_058
2, Romania, +8268, +463, 433.6740902495294, 24.28532943705033, 14.304250791508796, 19_065_008
3, Montenegro, +738, +15, 1174.8355946530653, 23.878772249046044, 23.54818123803446, 628_173
4, Latvia, +1821, +43, 980.0175445205664, 23.141545532336274, 7.054311613852948, 1_858_130
5, Armenia, +1835, +50, 617.7014034781806, 16.831100912212005, 15.910864475851902, 2_970_691
6, Ukraine, +26488, +696, 610.6007134908987, 16.044174591878036, 36.85543342145541, 43_380_231
7, Georgia, +5340, +62, 1342.090600163313, 15.582325320248202, 9.65624491419685, 3_978_867
8, Moldova, +1302, +49, 323.77178714317654, 12.184959731194814, 0, 4_021_351
9, Lithuania, +3428, +32, 1283.3390175118873, 11.979827468022284, 15.394287767199568, 2_671_157
10, Barbados, +328, +3, 1139.4902865401184, 10.422167254940106, 17.33615221987315, 287_848
11, Suriname, +38, +6, 64.00582116099821, 10.106182288578665, 24.203821656050955, 593_696
12, Trinidad and Tobago, +140, +14, 99.60286913179024, 9.960286913179024, 38.67403314917127, 1_405_582
13, Belize, +221, +4, 542.5749477679547, 9.82036104557384, 12.291434927697441, 407_317
14, Aruba, +16, +1, 149.0104772991851, 9.31315483119907, 0, 107_375
15, Croatia, +6932, +36, 1702.691244502238, 8.842597345943531, 45.97121825054712, 4_071_202
16, Hungary, +6804, +83, 706.7363168256113, 8.621269003016716, 20.816888480954564, 9_627_353
17, Russia, +40735, +1192, 278.9712671031781, 8.163342344101835, 6.789166666666667, 146_018_622
18, Serbia, +5725, +68, 658.8015542423253, 7.825066495804038, 27.063439538621537, 8_690_022
19, French Guiana, +64, +2, 207.0781914308456, 6.471193482213925, 5.245901639344262, 309_062
20, Slovenia, +3773, +13, 1814.5337759134948, 6.252037923900194, 37.82835371967114, 2_079_322
21, Estonia, +1430, +7, 1077.0221467386189, 5.272136382636595, 18.300486306629125, 1_327_735
22, Jamaica, +117, +15, 39.28093726330717, 5.036017597859894, 8.256880733944955, 2_978_544
23, North Macedonia, +606, +10, 290.8903789687216, 4.800171270110917, 18.606079214000616, 2_083_259
24, Greece, +6889, +49, 665.3110635850599, 4.732216884260115, 2.6178985369561087, 10_354_555
25, Brunei , +128, +2, 288.8686279642886, 4.513572311942009, 3.1052886948083454, 443_108
26, USA, +84846, +1345, 254.32546783629326, 4.0316308870166475, 4.802515878482979, 333_611_890
27, Poland, +15909, +152, 420.97485169428285, 4.022136995256207, 10.104801829268292, 37_790_856
28, Czechia, +8437, +43, 785.8827623504312, 4.005328763905244, 9.85423625873064, 10_735_698
29, Guyana, +64, +3, 80.84329663805572, 3.789529529908862, 5.474764756201882, 791_655
30, Slovakia, +6805, +20, 1245.6071982733927, 3.660858775234071, 33.164384229250935, 5_463_199
31, Austria, +9388, +32, 1034.4356441752943, 3.525984300554902, 1.983511584569683, 9_075_480
32, Mongolia, +1182, +11, 352.92305083166826, 3.2843938740679786, 0, 3_349_172
33, Guatemala, +945, +57, 51.46950894548235, 3.1045100633783003, 10.285154549412278, 18_360_385
34, UK, +34029, +193, 497.75164110744873, 2.8230646429145025, 1.63353496698031, 68_365_420
35, Azerbaijan, +2400, +26, 233.87279015793138, 2.53362189337759, 17.398869073510223, 10_261_989
36, Philippines, +2355, +260, 21.113492796775557, 2.3310013278818023, 0, 111_540_048
37, Turkey, +28193, +198, 329.5176468487159, 2.3142089907440053, 7.800576611274355, 85_558_392
38, Libya, +599, +15, 85.61072389369578, 2.143841165952315, 13.595097594189742, 6_996_787
39, Germany, +35806, +178, 425.5315710056103, 2.115416959140888, 0, 84_144_168
40, Costa Rica, +487, +10, 94.44154310887986, 1.9392513985396271, 0, 5_156_629
41, Belgium, +10190, +22, 874.1201003273703, 1.8872072823554613, 12.506596953741548, 11_657_437
42, Mexico, +3763, +244, 28.779492029193495, 1.8661164111409014, 16.328921674983725, 130_752_829
43, Brazil, +13321, +397, 62.07642457390775, 1.8500368257519235, 0, 214_590_323
44, Maldives, +130, +1, 234.94372194229783, 1.807259399556137, 4.641199571581578, 553_324
45, Belarus, +1991, +16, 210.79619554687477, 1.6939925307634338, 5.7073240647842916, 9_445_142
46, Iran, +8633, +132, 101.04519686227334, 1.5449977975002989, 0, 85_437_015
47, Papua New Guinea, +277, +14, 30.19242054706486, 1.525970713570065, 0, 9_174_488
48, Singapore, +1767, +9, 298.87447627195445, 1.5222808638639445, 0, 5_912_181
49, Finland, +788, +8, 141.9232947817074, 1.440845632301598, 7.894209577239031, 5_552_295
50, Malaysia, +4922, +47, 149.50027664537174, 1.427572735134594, 4.002244249111651, 32_923_016
51, Albania, +631, +4, 219.58748177354303, 1.391996714887753, 17.054054054054056, 2_873_570
52, Jordan, +2080, +14, 201.17536708217762, 1.3540649707454264, 6.024445345536697, 10_339_238
53, Palestine, +277, +7, 52.656811795429995, 1.330677554397148, 3.6119441908984222, 5_260_478
54, Kazakhstan, +1421, +23, 74.4820509788493, 1.2055504380813047, 0, 19_078_422
55, Honduras, +161, +12, 15.915194354672973, 1.1862256661868054, 8.554729011689693, 10_116_119
56, Netherlands, +10911, +20, 634.8825822165961, 1.163747744875073, 0, 17_185_855
57, Thailand, +8148, +80, 116.3410018159648, 1.142277877427244, 0, 70_035_498
58, Chile, +2510, +20, 129.80482112688787, 1.0343013635608596, 3.1364414510102843, 19_336_724
59, El Salvador, None, +6, 0, 0.9188074369499023, 0, 6_530_204
60, Portugal, +1289, +9, 126.91113749103671, 0.8861134502865249, 3.324221167732618, 10_156_713
61, Lebanon, +713, +6, 105.09524754279057, 0.884391984932319, 0, 6_784_322
62, Italy, +6764, +51, 112.09395501860497, 0.8451791404418766, 1.2447231760683384, 60_342_237
63, Switzerland, +2848, +7, 325.8696073042391, 0.8009435572786776, 7.872405119274677, 8_739_692
64, Namibia, +18, +2, 6.915972091747285, 0.7684413435274762, 1.0215664018161181, 2_602_671
65, Bolivia, +880, +9, 74.03120701405305, 0.7571373444619063, 0, 11_886_879
66, Colombia, +1975, +39, 38.26661273302454, 0.7556445046014972, 4.379254528925253, 51_611_571
67, South Africa, +339, +44, 5.620666025048572, 0.7295259737526171, 1.1214396771312316, 60_313_137
68, Vietnam, +7504, +70, 76.17073166027733, 0.7105478699652735, 0, 98_515_530
69, Sri Lanka, +628, +15, 29.163235265298603, 0.6965740907316545, 0, 21_533_962
70, Peru, +1062, +23, 31.617763979227192, 0.684753833825071, 2.240317272803983, 33_588_713
71, Iraq, +1156, +26, 27.900272551390866, 0.6275147805676147, 5.667777995685428, 41_433_287
