Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Lithuania, +2642, +20, 987.9420217885715, 7.478743541170109, 10.103636850357567, 2_674_246
2, Latvia, +1671, +16, 898.4701811135224, 8.602946078884715, 7.6563573883161515, 1_859_828
3, Serbia, +7150, +50, 822.510986848682, 5.751825082857916, 29.870075615156455, 8_692_893
4, Estonia, +1046, +4, 787.8511247591631, 3.012815008639247, 15.30582382206614, 1_327_662
5, Romania, +14744, +328, 772.9298818288557, 17.194859009757504, 20.98162826770645, 19_075_469
6, Mongolia, +2409, +14, 720.213606566052, 4.1855502249583765, 0, 3_344_841
7, Georgia, +2410, +24, 605.6049365094841, 6.030920529555029, 6.901884414914944, 3_979_492
8, Singapore, +3577, +3, 605.4078133319704, 0.5077504724618146, 0, 5_908_414
9, UK, +39851, +143, 583.160483391472, 2.092593639431395, 4.301176236948389, 68_336_249
10, Slovenia, +1208, +8, 580.9650271557866, 3.8474505109654746, 19.56592160673793, 2_079_299
11, Croatia, +1925, +18, 472.5936207962797, 4.419057233419759, 19.091540216205495, 4_073_267
12, Moldova, +1588, +26, 394.8170564946411, 6.4642591113732175, 18.278084714548804, 4_022_116
13, Armenia, +1155, +21, 388.8577278992458, 7.070140507259014, 12.909355091091987, 2_970_238
14, Bulgaria, +2542, +91, 369.35214152318673, 13.222283587179382, 13.837778987479588, 6_882_321
15, Slovakia, +1971, +7, 360.79189702768616, 1.281351232467683, 13.961889919954665, 5_462_983
16, Turkey, +30438, +236, 356.0664407484877, 2.760749064217199, 8.500714955985522, 85_484_046
17, USA, +107987, +2102, 323.8446523317568, 6.303735257034205, 6.350846528609303, 333_453_090
18, Cuba, +3596, +40, 317.72729208521525, 3.5342301677999473, 9.446750380917354, 11_317_882
19, Costa Rica, +1614, +31, 313.2266046992918, 6.016124377743522, 0, 5_152_819
20, Austria, +2693, +12, 296.8711347775109, 1.322856894663992, 0.8245585565173195, 9_071_276
21, Ukraine, +12662, +320, 291.7400336862738, 7.372990900300712, 23.281726915014893, 43_401_654
22, Malaysia, +9380, +105, 285.2015137207165, 3.1925542580677218, 9.623375157739225, 32_889_026
23, Gabon, +526, +3, 229.50821102712777, 1.3089821921699303, 4.266017842660178, 2_291_857
24, Greece, +2294, +21, 221.45621070274504, 2.027280045665931, 1.1691018708687742, 10_358_707
25, Bosnia and Herzegovina, +708, +29, 217.50991697757067, 8.90930450896829, 10.92086996760759, 3_255_024
26, Belarus, +1991, +16, 210.79052694032097, 1.693946976918702, 4.5263373269375045, 9_445_396
27, Palestine, +1091, +18, 207.7805532638116, 3.4280934543983586, 15.288677130044842, 5_250_732
28, Albania, +572, +9, 199.03772913261653, 3.131712521317393, 15.021008403361344, 2_873_827
29, Ireland, +982, +31, 196.11093248551634, 6.190874650764773, 0, 5_007_370
30, North Macedonia, +406, +18, 194.88629872517478, 8.640279253825483, 12.89298189901556, 2_083_266
31, Israel, +1624, +7, 174.13682178854816, 0.7505897490885696, 0, 9_326_000 
32, Russia, +25133, +929, 172.12790789016717, 6.362424956430401, 5.0266, 146_013_510
33, Belgium, +1730, +8, 148.4556493467265, 0.6865001125860185, 4.05827019165357, 11_653_312
34, Trinidad and Tobago, +208, +6, 148.0204752168891, 4.269821400487187, 21.80293501048218, 1_405_211
35, Thailand, +9866, +102, 140.9002207360624, 1.4567020590997737, 0, 70_021_182
36, Germany, +11604, +80, 137.94207588273954, 0.9509967313529096, 0, 84_122_266
37, Jordan, +1316, +12, 127.38431790634388, 1.161559129845081, 4.216867469879518, 10_330_942
38, Switzerland, +1091, +1, 124.90682077107694, 0.1144883783419587, 3.346523112787951, 8_734_511
39, Iran, +10497, +216, 122.98928713747759, 2.530788417804626, 0, 85_348_897
40, Finland, +666, None, 119.96558824928057, 0, 2.4994370637243866, 5_551_592
41, Lebanon, +796, +7, 117.28622081400172, 1.031411489570367, 0, 6_786_816
42, Cameroon, +3096, +58, 113.0849557670168, 2.118516613206387, 0, 27_377_647
43, Netherlands, +1895, +3, 110.28497929639579, 0.17459363477001974, 0, 17_182_757
44, Czechia, +1109, +4, 103.31585193096302, 0.37264509262745904, 1.8680726341677052, 10_734_074
45, Libya, +692, +10, 99.01094929466144, 1.430794064951755, 14.43169968717414, 6_989_126
46, Denmark, +573, +1, 98.48812985995092, 0.17188155298420751, 0.819695582513161, 5_817_960
47, Azerbaijan, +1009, +12, 98.39576865038647, 1.1702172683891354, -0.025982279518856594, 10_254_506
48, Canada, +3722, +62, 97.53727806895267, 1.6247477808369333, 4.2555137601042725, 38_159_769
49, Kazakhstan, +1828, +39, 95.90757447907838, 2.0461681644879963, 0, 19_060_017
50, Guatemala, +1650, +39, 90.00074291522334, 2.127290287087097, 5.966587112171838, 18_333_182
51, Philippines, +9868, None, 88.56540000583554, 0, 0, 111_420_487
52, Norway, +480, +10, 87.67531638459874, 1.826569091345807, 3.986379868781663, 5_474_745
53, Brazil, +18440, +543, 85.98072885574761, 2.5318620265005944, 0, 214_466_663
54, Australia, +2026, +22, 78.3052184360013, 0.8503034578440416, 1.0677882132203353, 25_873_116
55, France, +4946, +34, 75.56228591895122, 0.5194334252414762, 0, 65_455_934
56, Dominican Republic, +746, None, 67.90973649019541, 0, 14.943910256410255, 10_985_170
57, Hungary, +629, +7, 65.32109367657543, 0.7269438088013165, 5.19534153795325, 9_629_355
58, Laos, +475, +1, 64.11395925564638, 0.13497675632767658, 0, 7_408_683
59, Iraq, +2519, +20, 60.905543818927505, 0.4835692244456332, 10.15562006128044, 41_359_125
60, Mexico, +7682, +790, 58.80197835206928, 6.04706624552652, 24.173196135812958, 130_641_863
61, Djibouti, +59, None, 58.64134950641874, 0, 10.387323943661972, 1_006_116
62, Poland, +2085, +33, 55.16713657954228, 0.8731489242805253, 0, 37_794_240
63, Venezuela, +1522, +19, 53.7161385832612, 0.6705694041274394, 0, 28_334_129
64, Italy, +3235, +39, 53.6044253560034, 0.6462357307215246, 1.0723531771156185, 60_349_495
65, El Salvador, +332, +15, 50.86152841650444, 2.2979606212276105, 1.507309543267048, 6_527_527
66, Spain, +2303, +57, 49.232908319153665, 1.2185305141952925, 0, 46_777_655
67, Portugal, +500, +4, 49.21676925574106, 0.3937341540459285, 2.2028372543836463, 10_159_139
68, Panama, +211, +5, 47.9502299338514, 1.1362613728400808, 2.796554009277667, 4_400_396
69, Vietnam, +4363, +119, 44.31969646848814, 1.2088113407632568, 0, 98_443_815
70, Uruguay, +142, +3, 40.7001223583256, 0.8598617399646253, 1.578479324144064, 3_488_933
71, S. Korea, +2027, +12, 39.49348581546742, 0.23380455342161272, 4.110644683741964, 51_324_920
72, Bolivia, +431, +4, 36.298328466185076, 0.3368754382012536, 6.62669126691267, 11_873_825
73, Sri Lanka, +776, +43, 36.048390318591586, 1.9975267831178327, 0, 21_526_620
74, Chile, +695, +6, 35.96696193903636, 0.31050614623628514, 1.6130904026923525, 19_323_289
75, Benin, +445, None, 35.53511855913, 0, 0, 12_522_823
76, Qatar, +99, None, 35.25885878827055, 0, 1.7934782608695652, 2_807_805 
77, Eswatini, +41, None, 34.884116666099445, 0, 3.953712632594021, 1_175_320
78, Jamaica, +98, +7, 32.913661755702044, 2.3509758396930027, 13.668061366806135, 2_977_487
79, Honduras, +330, +34, 32.66292837801737, 3.365271408644214, 21.710526315789476, 10_103_197
80, Myanmar, +1717, +41, 31.292007059126874, 0.7472174079348876, 8.420794507111328, 54_870_242
81, Peru, +1034, +39, 30.818703018429673, 1.1624075606564384, 2.335878552387837, 33_551_055
82, Papua New Guinea, +275, +3, 30.019949621066363, 0.3274903595025422, 0, 9_160_575
83, Nepal, +849, +12, 28.492574663885783, 0.40272190337647745, 7.604120017913122, 29_797_237
84, Argentina, +1284, +56, 28.084525146673837, 1.2248702556181736, 0, 45_719_128
85, Lesotho, +60, None, 27.730494716647495, 0, 3.225806451612903, 2_163_683
86, Colombia, +1393, +32, 27.013325132245544, 0.6205501825067176, 3.1145891559530465, 51_567_143
87, Bahrain, +45, None, 25.339207524731066, 0, 0.3003003003003003, 1_775_904
88, Somalia, +323, +15, 19.633956191720053, 0.9117936311944296, 9.472140762463344, 16_451_091
89, Morocco, +727, +18, 19.406106928343203, 0.4804813269741096, 5.165920557095147, 37_462_434
90, South Africa, +1149, +59, 19.069953868636397, 0.9792230446036096, 3.217135657286854, 60_251_850
91, Tunisia, +213, +5, 17.787577740274475, 0.4175487732458797, 3.981308411214953, 11_974_649
92, Angola, +553, +11, 16.192385450219323, 0.3220908498235308, 7.468935710426797, 34_151_855
93, India, +22617, +315, 16.188253378189724, 0.2254631389720017, 1.604241661199085, 1_397_124_166
94, Syria, +289, +9, 16.023633806407556, 0.4990058970853565, 0, 18_035_859
95, UAE, +156, +3, 15.536090737143684, 0.2987709757143016, 0.05218997149624634, 10_041_136
96, Zimbabwe, +229, +3, 15.129752493105721, 0.1982063645385029, 3.424555106923882, 15_135_740
97, Uzbekistan, +458, +4, 13.438639056699085, 0.11736802669606188, 0, 34_080_832
98, Cambodia, +221, +13, 12.9917830793136, 0.7642225340772706, 3.0809981876481247, 17_010_752
99, Namibia, +33, +3, 12.697709102410487, 1.154337191128226, 2.507598784194529, 2_598_894
100, Kyrgyzstan, +80, +2, 12.012232055902526, 0.30030580139756313, 0, 6_659_878
