Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Anguilla, +52, None, 3425.3342994532636, 0, 0, 15_181
2, Cayman Islands, +154, None, 2307.2543673029095, 0, 8.346883468834688, 66_746
3, Latvia, +2879, +39, 1549.1237415723688, 20.985003793442992, 10.496190163695358, 1_858_470
4, Faeroe Islands, +71, None, 1445.7340663815924, 0, 0, 49_110
5, Slovenia, +2982, +9, 1434.1240733740583, 4.328342273764763, 39.21104536489152, 2_079_318
6, Estonia, +1894, +14, 1426.5055885277015, 10.544391889856294, 21.512948659700136, 1_327_720
7, Georgia, +4610, +42, 1158.5848878308877, 10.555437155943013, 8.259428469049539, 3_978_992
8, Croatia, +4547, +30, 1116.7558818797945, 7.368083671958178, 37.26132918134885, 4_071_615
9, Barbados, +314, +1, 1090.876244606416, 3.4741281675363567, 14.945264159923846, 287_842
10, Lithuania, +2620, +40, 980.621496944915, 14.971320564044502, 10.635275015222245, 2_671_775
11, Slovakia, +5142, +18, 941.2143715490408, 3.2947994336605864, 29.152965188796916, 5_463_155
12, Belgium, +8737, +18, 749.5316821045429, 1.544187968167766, 9.090246998356118, 11_656_612
13, Armenia, +2193, +52, 738.2344515470103, 17.504875276080497, 15.047344586249487, 2_970_601
14, Montenegro, +463, +5, 737.0592767585947, 7.959603420719167, 15.877914951989025, 628_172
15, Serbia, +6001, +64, 690.5165077285839, 7.364282035432322, 29.81418918918919, 8_690_596
16, Austria, +6102, +12, 672.4234429601001, 1.3223666528222224, 1.8030849240588616, 9_074_639
17, Isle of Man, +57, None, 665.6467867945021, 0, 0, 85_631
18, Romania, +12106, +395, 634.9156400291602, 20.716312391501592, 19.425545571245188, 19_067_100
19, Ukraine, +26198, +541, 603.8560071490945, 12.469887009224374, 36.07943590591087, 43_384_515
20, UK, +41278, +166, 603.8363076101718, 2.4283353617735486, 0, 68_359_586
21, Ireland, +2966, None, 591.8995965862999, 0, 0, 5_010_985
22, Caribbean Netherlands, +15, None, 565.0355972426263, 0, 0, 26_547
23, Czechia, +5734, +15, 534.1221026973167, 1.3972500070561125, 4.333597853606923, 10_735_373
24, Singapore, +3112, +14, 526.438032644233, 2.3682944913300967, 0, 5_911_427
25, Netherlands, +7942, +13, 462.14087487655104, 0.7564632804577138, 0, 17_185_236
26, Greece, +4670, +38, 450.9730927435339, 3.669588334958092, 1.686017964936603, 10_355_385
27, Gibraltar, +15, None, 445.3946196329948, 0, 1.9181585677749362, 33_678
28, Mongolia, +1443, +11, 430.9641950287698, 3.285243343947656, 0, 3_348_306
29, Bulgaria, +2836, +46, 412.2745591562385, 6.687104979261979, 8.703925359850228, 6_878_911
