Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Taiwan, +43285, +62, 1811.9525237880252, 2.595380766428499, 76.65674919420536, 23_888_595
2, Chile, +3012, +22, 156.46594748780467, 1.142845565979981, 8.708726074134043, 19_250_195
3, S. Korea, +23597, +44, 459.71257414708725, 0.8572002060631368, 0, 51_329_899
4, New Zealand, +1422, +4, 290.310548582817, 0.8166260157041266, 0, 4_898_203
5, Hong Kong, +3569, +6, 469.33977740749015, 0.7890273646525472, 0, 7_604_299
6, Lithuania, +73, +2, 27.42599864447941, 0.7513972231364222, 0, 2_661_708
7, Serbia, +1426, +6, 164.79803111423809, 0.693399850410539, 21.80761584340113, 8_653_016
8, Russia, +30085, +96, 206.3358910868018, 0.6584093582959274, 0, 145_805_947
9, Czechia, +665, +7, 61.93660969616227, 0.6519643125911819, 22.54237288135593, 10_736_784
10, Japan, +29492, +71, 234.8372659444765, 0.5653548718994247, 0, 125_584_838
11, Peru, +253, +18, 7.510938063320355, 0.534375040078128, 1.7208543055366616, 33_684_208
12, Croatia, +468, +2, 115.29121131154592, 0.49269748423737575, 18.64541832669323, 4_059_286
13, Slovenia, +891, +1, 428.7706553405767, 0.48122408006798734, 263.6094674556213, 2_078_034
14, Slovakia, +271, +2, 49.63194524442634, 0.36628741877805415, 37.586685159500696, 5_460_193
15, Italy, +28906, +20, 479.6659695530093, 0.33187986546254017, 18.48694350820867, 60_262_770
16, Brazil, +791, +62, 3.673029035554564, 0.287898609613632, 0, 215_353_593
17, Philippines, +2117, +32, 18.81627347943401, 0.28442170587713195, 12.97658452862572, 112_508_994
18, Austria, +9940, +2, 1096.3182896552332, 0.22058718101714955, 0, 9_066_710
19, Romania, +444, +4, 23.329945061657526, 0.21017968524015787, 0, 19_031_335
20, Singapore, +2863, +1, 481.6989722970092, 0.16824972836081356, 0, 5_943_546
21, Guatemala, +41, +3, 2.2061942508837826, 0.16142884762564264, 0, 18_584_039
22, Lebanon, +100, +1, 14.959201023089676, 0.14959201023089674, 0, 6_684_849
23, Mexico, +1121, +19, 8.520647467050937, 0.14441775367882945, 0, 131_562_772
24, Iran, +400, +10, 4.649928018533032, 0.1162482004633258, 0, 86_022_837
25, Argentina, +421, +5, 9.150138206208645, 0.1086714751331193, 0, 46_010_234
26, Saudi Arabia, +89, +2, 2.4829188435099665, 0.0557959290676397, 1.737941808240578, 35_844_909
27, Indonesia, +1322, +10, 4.736068011369644, 0.03582502277889292, 1.8289730357908718, 279_134_505
28, Malaysia, +1360, +1, 40.98722307706032, 0.030137664027250235, 4.248141438120822, 33_181_072
29, Afghanistan, +72, +1, 1.766680927707711, 0.02453723510705154, 9.95850622406639, 40_754_388
30, India, +3011, +28, 2.1405744213757902, 0.019905707007147833, 0.4336167467367136, 1_406_631_776
31, USA, +6036, +2, 18.028390108759012, 0.00597362163974785, 9.669822655836978, 334_805_269
32, Bangladesh, +535, +1, 3.1866921069132936, 0.0059564338446977455, 14.354708881137645, 167_885_689
33, Pakistan, +39, +1, 0.16994279037189905, 0.004357507445433309, 0, 229_488_994
34, China, +179, None, 0.12357855322514479, 0, 0, 1_448_471_400 
35, France, +37453, None, 571.0646527889402, 0, 0, 65_584_518
36, Germany, None, None, 0, 0, 0, 83_883_596
37, UK, None, None, 0, 0, 0, 68_497_907
38, Turkey, None, None, 0, 0, 0, 85_561_976
39, Spain, None, None, 0, 0, 0, 46_719_142
40, Vietnam, +490, None, 4.9518187530045035, 0, 0, 98_953_541
41, Australia, +978, None, 37.51612272636186, 0, 0, 26_068_792
42, Netherlands, None, None, 0, 0, 0, 17_211_447
43, Colombia, None, None, 0, 0, 0, 51_512_762
44, Poland, +308, None, 8.161148771780232, 0, 15.57128412537917, 37_739_785
45, Portugal, None, None, 0, 0, 0, 10_140_570
46, Ukraine, None, None, 0, 0, 0, 43_192_122
47, Greece, None, None, 0, 0, 0, 10_316_637
48, Thailand, None, None, 0, 0, 0, 70_078_203
49, Israel, +432, None, 46.32211022946601, 0, 0, 9_326_000
50, Belgium, None, None, 0, 0, 0, 11_668_278
51, Canada, None, None, 0, 0, 0, 38_388_419
52, Switzerland, None, None, 0, 0, 0, 8_773_637
53, South Africa, None, None, 0, 0, 0, 60_756_135
54, Denmark, None, None, 0, 0, 0, 5_834_950
55, Sweden, None, None, 0, 0, 0, 10_218_971
56, Iraq, None, None, 0, 0, 0, 42_164_965
57, Hungary, None, None, 0, 0, 0, 9_606_259
58, Georgia, None, None, 0, 0, 0, 3_968_738
59, Jordan, None, None, 0, 0, 0, 10_300_869
60, Ireland, None, None, 0, 0, 0, 5_020_199
61, Norway, +19, None, 3.447418699887687, 0, 0, 5_511_370
62, Kazakhstan, +43, None, 2.2389952472379258, 0, 0, 19_205_043
63, Finland, None, None, 0, 0, 0, 5_554_960
64, Morocco, +11, None, 0.2912151816510291, 0, 0.3442879499217527, 37_772_756
65, Bulgaria, +179, None, 26.15201450136509, 0, 15.770925110132158, 6_844_597
66, Tunisia, None, None, 0, 0, 0, 12_046_656
67, Cuba, +6, None, 0.5307080033951159, 0, 0.41293874741913283, 11_305_652
68, Bolivia, +54, None, 4.502755686480126, 0, 0, 11_992_656
69, Costa Rica, None, None, 0, 0, 0, 5_182_354
70, UAE, +400, None, 39.67551381030244, 0, 0.18643064546950228, 10_081_785
71, Ecuador, None, None, 0, 0, 0, 18_113_361
72, Nepal, None, None, 0, 0, 0, 30_225_582
73, Belarus, None, None, 0, 0, 0, 9_432_800
74, Panama, None, None, 0, 0, 0, 4_446_964
75, Uruguay, None, None, 0, 0, 0, 3_496_016
76, Mongolia, None, None, 0, 0, 0, 3_378_078
77, Latvia, None, None, 0, 0, 0, 1_848_837
78, Azerbaijan, +103, None, 9.999800974834967, 0, 4.633378317588844, 10_300_205
79, Paraguay, None, None, 0, 0, 0, 7_305_843
80, Bahrain, +405, None, 227.02010052786378, 0, 5.323343848580442, 1_783_983
81, Sri Lanka, +10, None, 0.4634813325014152, 0, 0, 21_575_842
82, Kuwait, None, None, 0, 0, 0, 4_380_326
83, Dominican Republic, None, None, 0, 0, 0, 11_056_370
84, Myanmar, None, None, 0, 0, 0, 55_227_143
85, Palestine, None, None, 0, 0, 0, 5_345_541
86, Estonia, None, None, 0, 0, 0, 1_321_910
87, Moldova, None, None, 0, 0, 0, 4_013_171
88, Cyprus, None, None, 0, 0, 0, 1_223_387
89, Venezuela, +14, None, 0.4783546077558844, 0, 0, 29_266_991
90, Egypt, None, None, 0, 0, 0, 106_156_692
91, Libya, +10, None, 1.4203042433719726, 0, 10.989010989010989, 7_040_745
92, Ethiopia, +1, None, 0.008277275622137004, 0, 0.07593014426727411, 120_812_698
93, Réunion, None, None, 0, 0, 0, 908_061
94, Honduras, None, None, 0, 0, 0, 10_221_247
95, Qatar, +858, None, 287.9276757894101, 0, 24.40273037542662, 2_979_915
96, Armenia, None, None, 0, 0, 0, 2_971_966
97, Bosnia and Herzegovina, None, None, 0, 0, 0, 3_249_317
98, Oman, None, None, 0, 0, 0, 5_323_993
99, North Macedonia, None, None, 0, 0, 0, 2_081_304
100, Kenya, +6, None, 0.10673265875802569, 0, 0.8823529411764706, 56_215_221
101, Zambia, None, None, 0, 0, 0, 19_470_234
102, Albania, +22, None, 7.675202189246762, 0, 0, 2_866_374
103, Botswana, None, None, 0, 0, 0, 2_441_162
104, Luxembourg, None, None, 0, 0, 0, 642_371
105, Montenegro, +128, None, 203.83788518194123, 0, 15.041128084606346, 627_950
106, Algeria, +3, None, 0.06615193405763527, 0, 0, 45_350_148
107, Nigeria, None, None, 0, 0, 0, 216_746_934
108, Zimbabwe, +52, None, 3.391725806624145, 0, 5.862457722660654, 15_331_428
109, Uzbekistan, None, None, 0, 0, 0, 34_382_084
110, Mozambique, None, None, 0, 0, 0, 33_089_461
111, Brunei , None, None, 0, 0, 0, 445_431
112, Martinique, None, None, 0, 0, 0, 374_087
113, Laos, +16, None, 2.1387449283339994, 0, 0, 7_481_023
114, Kyrgyzstan, None, None, 0, 0, 0, 6_728_271
115, Iceland, None, None, 0, 0, 0, 345_393
116, El Salvador, None, None, 0, 0, 0, 6_550_389
117, Guadeloupe, None, None, 0, 0, 0, 399_794
118, Maldives, None, None, 0, 0, 0, 540_985
119, Trinidad and Tobago, None, None, 0, 0, 0, 1_406_585
120, Uganda, None, None, 0, 0, 0, 48_432_863
121, Ghana, None, None, 0, 0, 0, 32_395_450
122, Namibia, None, None, 0, 0, 0, 2_633_874
123, Jamaica, None, None, 0, 0, 0, 2_985_094
124, Cambodia, +4, None, 0.2329829405813705, 0, 0, 17_168_639
125, Rwanda, +2, None, 0.14705380639954638, 0, 0, 13_600_464
126, Cameroon, None, None, 0, 0, 0, 27_911_548
127, Malta, +9, None, 20.268763808095343, 0, 1.8145161290322582, 444_033
128, Angola, None, None, 0, 0, 0, 35_027_343
129, Barbados, None, None, 0, 0, 0, 288_023
130, French Guiana, None, None, 0, 0, 0, 314_169
131, DRC, None, None, 0, 0, 0, 95_240_792
132, Channel Islands, None, None, 0, 0, 0, 176_463
133, Senegal, None, None, 0, 0, 0, 17_653_671
134, Malawi, +1, None, 0.049551953712132585, 0, 0.78125, 20_180_839
135, Ivory Coast, +24, None, 0.8651049743608118, 0, 1.2371134020618557, 27_742_298
136, Suriname, None, None, 0, 0, 0, 596_831
137, French Polynesia, None, None, 0, 0, 0, 284_164
138, New Caledonia, None, None, 0, 0, 0, 290_915
139, Eswatini, None, None, 0, 0, 0, 1_184_817
140, Guyana, +1, None, 1.2593744687013961, 0, 0, 794_045
141, Belize, None, None, 0, 0, 0, 412_190
142, Fiji, None, None, 0, 0, 0, 909_466
143, Madagascar, +8, None, 0.27417845254161194, 0, 0, 29_178_077
144, Sudan, None, None, 0, 0, 0, 45_992_020
145, Mauritania, +3, None, 0.6119974761224085, 0, 0.340522133938706, 4_901_981
146, Cabo Verde, +2, None, 3.5231240245350355, 0, 0, 567_678
147, Syria, +2, None, 0.103280130467592, 0, 0, 19_364_809
148, Gabon, +22, None, 9.43585186227259, 0, 3.6605657237936775, 2_331_533
149, Seychelles, None, None, 0, 0, 0, 99_426
150, Andorra, None, None, 0, 0, 0, 77_463
151, Curaçao, None, None, 0, 0, 0, 165_529
152, Papua New Guinea, None, None, 0, 0, 0, 9_292_169
153, Aruba, None, None, 0, 0, 0, 107_609
154, Mauritius, None, None, 0, 0, 0, 1_274_727
155, Mayotte, None, None, 0, 0, 0, 286_259
156, Tanzania, None, None, 0, 0, 0, 63_298_550
157, Togo, +26, None, 2.9951028915760083, 0, 12.093023255813954, 8_680_837
158, Guinea, None, None, 0, 0, 0, 13_865_691
159, Bahamas, +19, None, 47.43880394291364, 0, 0, 400_516
160, Lesotho, None, None, 0, 0, 0, 2_175_699
161, Haiti, None, None, 0, 0, 0, 11_680_283
162, Mali, +42, None, 1.9558750855229665, 0, 7.023411371237458, 21_473_764
163, Saint Lucia, None, None, 0, 0, 0, 185_113
164, Benin, None, None, 0, 0, 0, 12_784_726
165, Somalia, None, None, 0, 0, 0, 16_841_795
166, Congo, None, None, 0, 0, 0, 5_797_805
167, Burkina Faso, None, None, 0, 0, 0, 22_102_838
168, Grenada, None, None, 0, 0, 0, 113_475
169, Nicaragua, None, None, 0, 0, 0, 6_779_100
170, Equatorial Guinea, None, None, 0, 0, 0, 1_496_662
171, Djibouti, None, None, 0, 0, 0, 1_016_097
172, Gambia, None, None, 0, 0, 0, 2_558_482
173, Yemen, None, None, 0, 0, 0, 31_154_867
174, Niger, None, None, 0, 0, 0, 26_083_660
175, Guinea-Bissau, None, None, 0, 0, 0, 2_063_367
176, Comoros, None, None, 0, 0, 0, 907_419
177, Liberia, None, None, 0, 0, 0, 5_305_117
178, Chad, None, None, 0, 0, 0, 17_413_580
