Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Romania, +7424, +394, 389.3689071620015, 20.664244264793723, 21.271596802383886, 19_066_751
2, Armenia, +1587, +44, 534.2326305385819, 14.811742749651925, 9.572927976836771, 2_970_616
3, Bulgaria, +1457, +81, 211.8111540015372, 11.775362713880929, 8.586751532296088, 6_878_769
4, Estonia, +1877, +15, 1413.6984898205424, 11.297537212204654, 24.95346982185589, 1_327_723
5, Georgia, +3382, +42, 849.9684968802236, 10.555492864863805, 9.344348354654215, 3_978_971
6, Lithuania, +3243, +28, 1213.8466099131929, 10.480328423548999, 13.164197280292267, 2_671_672
7, Trinidad and Tobago, +208, +14, 147.98793329159315, 9.960726279241847, 22.365591397849464, 1_405_520
8, Moldova, +653, +39, 162.3780703567021, 9.697924569542698, 0, 4_021_479
9, St. Vincent Grenadines, +18, +1, 161.56683930382644, 8.975935516879247, 0, 111_409
10, Latvia, +1800, +16, 968.5683429894217, 8.609496382128192, 10.608828903164968, 1_858_413
11, Russia, +40993, +1158, 280.73980310752586, 7.930541604627985, 1.4640357142857143, 146_017_770
12, Ukraine, +17430, +336, 401.7628607507212, 7.7448262313392044, 36.38375151338037, 43_383_801
13, Serbia, +4929, +65, 567.1709835831099, 7.479430702556734, 30.714107676969093, 8_690_501
14, Croatia, +3319, +22, 815.1694712524431, 5.403352927855906, 38.07502581163244, 4_071_546
15, North Macedonia, +349, +11, 167.5258969115713, 5.280185862542361, 12.672476397966594, 2_083_260
16, Montenegro, +529, +3, 842.1260419120878, 4.775762052431499, 19.22238372093023, 628_172
17, Greece, +2722, +44, 262.8619095227762, 4.249053644012547, 1.7199327697109856, 10_355_247
18, Mongolia, +1188, +12, 354.7910227120011, 3.583747704161627, 0, 3_348_450
19, Barbados, +298, +1, 1035.2865972075056, 3.474116098011763, 17.973462002412546, 287_843
20, New Caledonia, +20, +1, 69.1684909856164, 3.4584245492808203, 0, 289_149
