Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Serbia, +7549, +47, 868.353112934907, 5.4063579689946515, 31.46596640406819, 8_693_468
2, Mongolia, +2650, +19, 792.4700393992181, 5.68186065984345, 0, 3_343_975
3, Lithuania, +1843, +22, 689.0069925050395, 8.224717219267971, 7.849233390119251, 2_674_864
4, Latvia, +1208, +11, 649.4037097724507, 5.913444377067018, 4.2472399971872585, 1_860_168
5, Romania, +12032, +176, 630.6885544389792, 9.225497471846769, 17.700364834647523, 19_077_562
6, Estonia, +789, +5, 594.2844747135346, 3.7660613099717017, 12.829268292682928, 1_327_647
7, UK, +36480, +137, 533.8764589677963, 2.0049636753998934, 3.1024761127198968, 68_330_415
8, Slovenia, +1028, +4, 494.3985795178555, 1.9237298813924344, 17.86893794541978, 2_079_294
9, Botswana, +1170, +1, 485.34365857027717, 0.41482363980365566, 17.56756756756757, 2_410_663
10, Cuba, +5003, +58, 442.039424827454, 5.124582578451395, 10.68537622007219, 11_317_995
11, Georgia, +1743, +29, 437.9818459917123, 7.287133410074387, 4.8353538435930865, 3_979_617
12, Croatia, +1710, +12, 419.7679787729961, 2.945740201915762, 17.676245606781062, 4_073_679
13, Singapore, +2478, +2, 419.4553478948775, 0.33854346077068403, 0, 5_907_661
14, Costa Rica, +2072, +37, 402.1693855154581, 7.181596169918894, 0, 5_152_058
15, Malaysia, +12735, +192, 387.29127478831424, 5.83902039727965, 8.367554781694537, 32_882_228
16, Moldova, +1553, +24, 386.10048209107845, 5.96678143605015, 0, 4_022_269
17, Israel, +3587, +29, 384.6236328543856, 3.109586103366931, 3.4950794114781254, 9_326_000 
18, Armenia, +1022, +20, 344.09059750557884, 6.733671184062208, 13.677730192719487, 2_970_148
19, USA, +113922, +1812, 341.6758010052926, 5.434565329098771, 5.643843651629562, 333_421_330
20, Turkey, +29104, +216, 340.52042340972145, 2.5272268917159093, 8.132948445311342, 85_469_176
21, Bosnia and Herzegovina, +1000, +32, 307.185970693844, 9.829951062203008, 25.94706798131811, 3_255_357
22, Bulgaria, +2050, +70, 297.827717271131, 10.169726931209352, 9.726703359271209, 6_883_174
23, Gabon, +640, +3, 279.3547255034278, 1.3094752757973178, 4.678020612528324, 2_290_994
24, Palestine, +1461, +18, 278.3502385219583, 3.429366388360883, 8.568914956011731, 5_248_783
25, Ukraine, +11757, +194, 270.86155815824094, 4.469434573675151, 25.227448287700625, 43_405_938
26, Slovakia, +1427, +17, 261.21470512484217, 3.111878056848154, 12.770717737605155, 5_462_939
27, Ireland, +1267, None, 253.0727263502838, 0, 0, 5_006_466
28, North Macedonia, +494, +12, 237.1275501411965, 5.760183404239591, 14.423357664233578, 2_083_267
29, Albania, +669, +13, 232.78649963568392, 4.523504477225547, 13.836608066184075, 2_873_878
30, Austria, +2049, +11, 225.8987578875765, 1.2127312526907474, 0.47226345340057346, 9_070_435
31, Belgium, +2589, +14, 222.18432854720197, 1.2014602547936764, 4.644446039035591, 11_652_487
32, Greece, +2232, +33, 215.45362351100985, 3.185470240082135, 1.4837170035829903, 10_359_538
33, Belarus, +1989, +14, 210.57764656347126, 1.4821956017539455, 5.410772578890098, 9_445_447
34, Trinidad and Tobago, +250, +8, 177.91859441463714, 5.6933950212683895, 23.76425855513308, 1_405_137
35, Guatemala, +3071, +39, 167.56020286406275, 2.1279218208070487, 17.621069543263715, 18_327_741
36, Thailand, +11646, +107, 166.32790055985205, 1.5281715060882852, 0, 70_018_319
37, Iran, +14078, +268, 164.9805458779456, 3.140700830749355, 0, 85_331_273
38, Russia, +23888, +867, 163.6024447443153, 5.937848275005081, 4.7776, 146_012_488
39, Germany, +11015, +59, 130.94718048430272, 0.701396609039842, 0, 84_117_886
40, Switzerland, +1140, +3, 130.53223373284973, 0.3435058782443414, 3.147693072314107, 8_733_475
41, Brazil, +27527, +637, 128.3657532444063, 2.970501137671625, 0, 214_441_931
42, Philippines, +14286, +130, 128.24451739202934, 1.1670017682321023, 20.118859846777827, 111_396_575
43, Finland, +663, None, 119.42823596929884, 0, 11.081397292328262, 5_551_451
44, Kazakhstan, +2252, +36, 118.17591797289889, 1.8891354560498934, 0, 19_056_336
45, Libya, +815, +15, 116.63528247348086, 2.146661640616212, 17.333049766056995, 6_987_594
46, Norway, +581, None, 106.13711856173792, 0, 0, 5_474_051
47, Djibouti, +106, None, 105.38025869859358, 0, 11.738648947951273, 1_005_881
48, Equatorial Guinea, +148, +1, 101.35813046298065, 0.6848522328579774, 0, 1_460_169
49, Jordan, +1027, +8, 99.42606858578665, 0.7744971262768191, 3.272368085648738, 10_329_283
50, Netherlands, +1703, +2, 99.11456299062218, 0.11639995653625622, 0, 17_182_137
51, Australia, +2400, +12, 92.7777615416695, 0.4638888077083475, 1.0990772330730658, 25_868_268
52, Lebanon, +621, +9, 91.49421995210476, 1.3260031877116631, 0, 6_787_314
53, Jamaica, +251, +9, 84.30525084002961, 3.0228974404791495, 18.361375274323336, 2_977_276
54, Canada, +3117, +34, 81.69448568773942, 0.8911172644796728, 0, 38_154_350
55, Vietnam, +7940, +203, 80.66689537187708, 2.0623903980467313, 0, 98_429_473
56, France, +5204, +56, 79.50673678272689, 0.8555682666857621, 0, 65_453_573
57, Azerbaijan, +774, +12, 75.49003419386445, 1.1703881270366583, 4.041353383458646, 10_253_009
58, Mexico, +9796, +596, 74.99636157402634, 4.562865608219651, 27.748349998583688, 130_619_670
59, Portugal, +749, +7, 73.72320077987138, 0.6890018764473961, 1.1207038439094459, 10_159_624
60, Denmark, +427, +2, 73.39762415156558, 0.3437827829113142, 0.6344442298263079, 5_817_627
61, Tunisia, +876, +48, 73.16692424041081, 4.0091465337211405, 7.522541863460713, 11_972_623
62, Honduras, +735, +22, 72.7678607229086, 2.1780856270802573, 27.36411020104244, 10_100_613
63, Mauritius, +88, +2, 69.05215713446103, 1.569367207601387, 0, 1_274_399
64, Czechia, +734, +5, 68.3824385699313, 0.46582042622569003, 0.9986258690357954, 10_733_750
65, Hungary, +633, +5, 65.73375275552154, 0.519223955414862, 3.4565609130126145, 9_629_756
66, Italy, +3804, +51, 63.03132244138605, 0.8450571620690558, 1.231721690476499, 60_350_947
67, Panama, +262, +5, 59.55517286684509, 1.1365491005123107, 3.425732217573222, 4_399_282
68, Iraq, +2434, +39, 58.87148680955797, 0.9432982685179789, 11.873749939021415, 41_344_293
69, Cambodia, +978, +17, 57.50587494835937, 0.99959087333549, 13.003589948145194, 17_006_958
70, Dominican Republic, +592, None, 53.89957998388111, 0, 14.189837008628956, 10_983_388
71, Spain, +2400, +18, 51.306872626135224, 0.3848015446960142, 0, 46_777_359
72, S. Korea, +2564, +7, 49.95694136405324, 0.13638790544008295, 4.345910030848503, 51_324_199
73, Laos, +358, +1, 48.3329715110885, 0.13500830031030306, 5.649360896323182, 7_406_952
74, Venezuela, +1296, +15, 45.737769275822885, 0.5293723295812834, 0, 28_335_444
75, Chile, +858, +13, 44.40855414339574, 0.6728568809605415, 1.2706028699631258, 19_320_602
76, Bahrain, +76, None, 42.81863827715828, 0, 0.48208055819854106, 1_774_928
77, Sri Lanka, +912, +59, 42.36903878774004, 2.740979482978796, 0, 21_525_152
78, Bolivia, +442, +10, 37.232923271368875, 0.8423738296689791, 6.219220486843956, 11_871_214
79, Argentina, +1641, +49, 35.898406067018755, 1.0719207174185978, 0, 45_712_336
80, Papua New Guinea, +318, None, 34.72452369255343, 0, 0, 9_157_793
81, Poland, +1208, +27, 31.961969912514956, 0.7143817778459469, 3.06218155086314, 37_794_917
82, Timor-Leste, +43, None, 31.859568947441346, 0, 0, 1_349_673
83, Uruguay, +106, +1, 30.38349706025334, 0.28663676471937116, 1.3014119091467158, 3_488_736
84, Peru, +1016, +28, 30.28900600902875, 0.8347363860755953, 2.3591148675319853, 33_543_524
85, Qatar, +85, +1, 30.27275754548482, 0.35615008877040966, 1.400560224089636, 2_807_805 
86, Nepal, +898, +12, 30.145725039096288, 0.4028381965135361, 10.496785505552308, 29_788_635
87, Morocco, +1098, +19, 29.314971588506225, 0.507271821659033, 5.980717904025274, 37_455_264
88, South Africa, +1678, +101, 27.855434346235278, 1.6766381817459852, 4.12487708947886, 60_239_592
89, Colombia, +1429, +38, 27.71622011969877, 0.7370303460801633, 2.7584210018338, 51_558_257
90, Myanmar, +1468, +53, 26.75693937941982, 0.9660202909463557, 8.020104895104895, 54_864_272
91, UAE, +265, +2, 26.39658346529965, 0.1992194978513181, 0.09104808369552146, 10_039_178
92, Zimbabwe, +335, +7, 22.138233509064648, 0.4625899539207538, 5.145929339477727, 15_132_192
93, India, +27300, +282, 19.543247475690354, 0.20187530359504322, 1.812443319652595, 1_396_901_924
