Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Montserrat, +66, None, 13202.640528105621, 0, 11.418685121107266, 4_999
2, Taiwan, +38302, +51, 1601.7448153955854, 2.132760315001171, 0, 23_912_673
3, Slovenia, +2185, None, 1050.6959598456222, 0, 240.1098901098901, 2_079_574
4, Austria, +8599, +5, 942.7958947208693, 0.5482008923833407, 4.632732444750935, 9_120_744
5, Palau, +15, None, 820.299682817456, 0, 0, 18_286
6, Hong Kong, +5190, +7, 680.0016875571746, 0.9171506383237421, 0, 7_632_334
7, France, +38024, None, 579.679769613575, 0, 0, 65_594_837
8, S. Korea, +29315, +63, 570.6933960777449, 1.2264603088145294, 0, 51_367_337
9, Japan, +64053, +85, 509.9135487444291, 0.6766685657701665, 49.526791927627, 125_615_411
10, Lithuania, +1231, +2, 466.6608539400809, 0.758181728578523, 0, 2_637_890
11, Singapore, +2342, +1, 393.4327969073696, 0.16799009261629785, 0, 5_952_732
12, Italy, +22360, +43, 371.0335932255505, 0.7135261408183664, 14.66989456833376, 60_264_085
13, Russia, +51269, +111, 350.98046219942, 0.7598906025890034, 0, 146_073_658
14, Monaco, +13, None, 326.133313263591, 0, 0, 39_861
15, Czechia, +2864, +3, 266.33984238521464, 0.27898726506831145, 22.674372575409706, 10_753_179
16, Montenegro, +147, None, 233.98589399324783, 0, 16.048034934497817, 628_243
17, Chile, +4335, +29, 222.5202504977447, 1.4886014450829517, 9.24997332764323, 19_481_373
18, Serbia, +1841, +9, 212.60847969461986, 1.0393679072523514, 20.34029389017788, 8_659_109
19, Qatar, +528, None, 188.0472468707763, 0, 21.91780821917808, 2_807_805 
20, Croatia, +722, +8, 178.3165583224808, 1.9758067404153, 22.92063492063492, 4_048_979
21, Grenada, +20, +1, 175.9277992311955, 8.796389961559777, 0, 113_683
22, Bahrain, +319, None, 174.00563145498165, 0, 10.629790069976675, 1_833_274
23, Poland, +4527, +25, 119.90650629866732, 0.6621742119431595, 30.56305698082636, 37_754_415
24, Slovakia, +405, +3, 74.1008411817712, 0.5488951198649717, 29.136690647482016, 5_465_525
25, Malaysia, +1924, +3, 57.79691845095127, 0.09011993521458098, 5.7852482184201826, 33_288_972
26, Romania, +1059, +4, 55.876910816229234, 0.21105537607640878, 8.544456995320317, 18_952_372
27, Lebanon, +331, +4, 48.98277138305149, 0.5919368142966948, 0, 6_757_478
28, USA, +15377, +75, 45.89606090975872, 0.22385410471690864, 130.13710223425863, 335_039_646
29, Australia, +1124, None, 42.96902670987577, 0, 0, 26_158_377
30, Bulgaria, +269, None, 39.37260846165657, 0, 14.595767769940316, 6_832_161
31, Guatemala, +707, +9, 37.90220159789677, 0.48248912925186843, 0, 18_653_270
32, UAE, +368, +1, 36.2334358798645, 0.09846042358658831, 0.16645181717438992, 10_156_365
33, Malta, +16, None, 36.02313585900544, 0, 0, 444_159
34, Brazil, +6834, +21, 31.650357894271956, 0.09725746499556791, 0, 215_921_729
35, Philippines, +2623, +29, 23.247914868989668, 0.2570299394589022, 13.554154609342703, 112_827_323
36, Bahamas, +9, None, 22.41002375462518, 0, 0, 401_606
37, Peru, +745, +27, 21.915529664963913, 0.7942540952403029, 2.9466439900328285, 33_994_159
38, Jamaica, +52, +2, 17.39174641228339, 0.6689133235493612, 0, 2_989_924
39, Albania, +45, None, 15.675029469055401, 0, 0, 2_870_808
40, Azerbaijan, +149, +1, 14.406492629145262, 0.09668786999426351, 5.071477195371001, 10_342_559
41, Vietnam, +1176, None, 11.844372678110158, 0, 0, 99_287_656
42, Thailand, +607, +14, 8.648000643513829, 0.19945965240394328, 0, 70_189_634
43, Bolivia, +93, +3, 7.732327122002071, 0.24942990716135713, 0, 12_027_427
44, Myanmar, +380, +2, 6.8813823349808745, 0.03621780176305724, 3.0003947887879985, 55_221_463
45, Indonesia, +1724, +12, 6.15800678150854, 0.04286315625179958, 1.5679569266589057, 279_960_718
46, Kazakhstan, +107, None, 5.55077658477006, 0, 0, 19_276_582
47, Norway, +29, None, 5.25783803139292, 0, 0, 5_515_575
48, Laos, +37, None, 4.926403525707172, 0, 0, 7_510_550
49, Iran, +397, +15, 4.595665319851187, 0.17363974760143022, 0, 86_385_751
50, India, +4777, +23, 3.387464226920523, 0.01630975030755119, 1.5719607223713998, 1_410_199_394
51, Afghanistan, +120, None, 2.9354208154457146, 0, 37.15170278637771, 40_879_999
52, Togo, +24, None, 2.755244090518034, 0, 12.903225806451612, 8_710_662
53, Bangladesh, +350, +4, 2.0791140189454573, 0.023761303073662365, 13.118440779610193, 168_340_936
54, Cabo Verde, +1, None, 1.7561513591733444, 0, 0, 569_427
55, Cuba, +19, None, 1.6797454001056293, 0, 1.0138740661686232, 11_311_238
56, Venezuela, +45, None, 1.5925393847376264, 0, 0, 28_256_758
57, Saudi Arabia, +57, +1, 1.582424494198832, 0.027761833231558453, 1.5921787709497208, 36_020_676
58, Guyana, +1, None, 1.2578663818857179, 0, 0, 794_997
59, Nepal, +29, +1, 0.9569905669439815, 0.03299967472220627, 0, 30_303_329
60, Morocco, +22, None, 0.5807158928266647, 0, 0.7282356835484939, 37_884_274
61, Nigeria, +96, None, 0.44135160158105935, 0, 0, 217_513_655
62, Sri Lanka, +9, +1, 0.41641579542843005, 0.04626842171427001, 0, 21_613_013
63, Mauritania, +2, None, 0.40636002197595, 0, 0.2306805074971165, 4_921_744
64, Cambodia, +6, None, 0.348149634016401, 0, 0.17477424992717738, 17_233_969
65, Pakistan, +67, +1, 0.2907481541918524, 0.004339524689430633, 0, 230_439_984
66, Mali, +6, None, 0.2784295607550935, 0, 1.0362694300518136, 21_549_436
67, Ivory Coast, +6, None, 0.21557586655480196, 0, 1.3824884792626728, 27_832_429
68, Algeria, +7, None, 0.15346287777929218, 0, 0, 45_613_637
69, China, +188, None, 0.1306168932486251, 0, 0, 1_439_323_776 
70, Kenya, +7, None, 0.12409596752458169, 0, 0.4435994930291508, 56_407_957
71, Ethiopia, +7, None, 0.05770671487122899, 0, 0.36553524804177545, 121_303_041
72, Yemen, +1, None, 0.031960855367093755, 0, 0, 31_288_274
73, Germany, None, None, 0, 0, 0, 84_379_978
74, UK, None, None, 0, 0, 0, 68_679_488
75, Turkey, None, None, 0, 0, 0, 86_358_852
76, Spain, None, None, 0, 0, 0, 46_795_062
77, Argentina, None, None, 0, 0, 0, 46_118_734
78, Netherlands, None, None, 0, 0, 0, 17_219_218
79, Mexico, None, None, 0, 0, 0, 131_947_552
80, Colombia, None, None, 0, 0, 0, 52_089_915
81, Portugal, None, None, 0, 0, 0, 10_130_589
82, Ukraine, None, None, 0, 0, 0, 43_149_578
83, Greece, None, None, 0, 0, 0, 10_309_846
84, DPRK, None, None, 0, 0, 0, 26_030_182
85, Israel, None, None, 0, 0, 0, 9_326_000 
86, Belgium, None, None, 0, 0, 0, 11_701_848
87, Canada, None, None, 0, 0, 0, 38_478_585
88, Switzerland, None, None, 0, 0, 0, 8_795_465
89, South Africa, None, None, 0, 0, 0, 60_973_000
90, Denmark, None, None, 0, 0, 0, 5_837_584
91, Sweden, None, None, 0, 0, 0, 10_239_393
92, Iraq, None, None, 0, 0, 0, 42_231_764
93, Hungary, None, None, 0, 0, 0, 9_605_797
94, Georgia, None, None, 0, 0, 0, 3_972_137
95, New Zealand, None, None, 0, 0, 0, 5_002_100 
96, Jordan, None, None, 0, 0, 0, 10_428_559
97, Ireland, None, None, 0, 0, 0, 5_060_543
98, Finland, None, None, 0, 0, 0, 5_559_868
99, Tunisia, None, None, 0, 0, 0, 12_093_847
100, Costa Rica, None, None, 0, 0, 0, 5_197_640
101, Ecuador, None, None, 0, 0, 0, 18_239_373
102, Belarus, None, None, 0, 0, 0, 9_442_409
103, Panama, None, None, 0, 0, 0, 4_465_953
104, Uruguay, None, None, 0, 0, 0, 3_500_514
105, Mongolia, None, None, 0, 0, 0, 3_395_801
106, Latvia, None, None, 0, 0, 0, 1_839_851
107, Paraguay, None, None, 0, 0, 0, 7_327_537
108, Kuwait, None, None, 0, 0, 0, 4_411_148
109, Dominican Republic, None, None, 0, 0, 0, 11_090_010
110, Palestine, None, None, 0, 0, 0, 5_365_409
111, Estonia, None, None, 0, 0, 0, 1_328_519
112, Moldova, None, None, 0, 0, 0, 4_013_112
113, Cyprus, None, None, 0, 0, 0, 1_226_917
114, Egypt, None, None, 0, 0, 0, 106_630_828
115, Libya, None, None, 0, 0, 0, 7_079_260
116, Réunion, None, None, 0, 0, 0, 909_530
117, Honduras, None, None, 0, 0, 0, 10_255_247
118, Armenia, None, None, 0, 0, 0, 2_975_564
119, Bosnia and Herzegovina, None, None, 0, 0, 0, 3_235_447
120, Oman, None, None, 0, 0, 0, 5_395_756
121, North Macedonia, None, None, 0, 0, 0, 2_083_184
122, Zambia, None, None, 0, 0, 0, 19_530_197
123, Botswana, None, None, 0, 0, 0, 2_457_323
124, Luxembourg, None, None, 0, 0, 0, 648_646
125, Zimbabwe, None, None, 0, 0, 0, 15_344_505
126, Uzbekistan, None, None, 0, 0, 0, 34_548_851
127, Mozambique, None, None, 0, 0, 0, 33_204_966
128, Brunei , None, None, 0, 0, 0, 446_802
129, Martinique, None, None, 0, 0, 0, 374_618
130, Kyrgyzstan, None, None, 0, 0, 0, 6_763_788
131, Iceland, None, None, 0, 0, 0, 346_171
132, El Salvador, None, None, 0, 0, 0, 6_559_026
133, Guadeloupe, None, None, 0, 0, 0, 400_276
134, Maldives, None, None, 0, 0, 0, 561_736
135, Trinidad and Tobago, None, None, 0, 0, 0, 1_409_571
136, Uganda, None, None, 0, 0, 0, 48_957_288
137, Namibia, None, None, 0, 0, 0, 2_643_334
138, Ghana, None, None, 0, 0, 0, 32_516_792
139, Rwanda, None, None, 0, 0, 0, 13_666_982
140, Cameroon, None, None, 0, 0, 0, 28_016_908
141, Angola, None, None, 0, 0, 0, 35_142_537
142, Barbados, None, None, 0, 0, 0, 288_158
143, French Guiana, None, None, 0, 0, 0, 315_917
144, DRC, None, None, 0, 0, 0, 95_623_645
145, Channel Islands, None, None, 0, 0, 0, 177_429
146, Senegal, None, None, 0, 0, 0, 17_726_240
147, Malawi, None, None, 0, 0, 0, 20_230_435
148, Suriname, None, None, 0, 0, 0, 598_329
149, French Polynesia, None, None, 0, 0, 0, 284_521
150, New Caledonia, None, None, 0, 0, 0, 291_606
151, Eswatini, None, None, 0, 0, 0, 1_186_898
152, Belize, None, None, 0, 0, 0, 413_696
153, Fiji, None, None, 0, 0, 0, 910_900
154, Madagascar, None, None, 0, 0, 0, 29_275_823
155, Sudan, None, None, 0, 0, 0, 46_128_405
156, Bhutan, None, None, 0, 0, 0, 790_518
157, Syria, None, None, 0, 0, 0, 18_447_078
158, Burundi, None, None, 0, 0, 0, 12_679_248
159, Gabon, None, None, 0, 0, 0, 2_342_647
160, Seychelles, None, None, 0, 0, 0, 99_702
161, Andorra, None, None, 0, 0, 0, 77_540
162, Curaçao, None, None, 0, 0, 0, 165_586
163, Papua New Guinea, None, None, 0, 0, 0, 9_324_287
164, Aruba, None, None, 0, 0, 0, 107_775
165, Mauritius, None, None, 0, 0, 0, 1_276_463
166, Mayotte, None, None, 0, 0, 0, 287_469
167, Tanzania, None, None, 0, 0, 0, 63_522_206
168, Isle of Man, None, None, 0, 0, 0, 86_034
169, Guinea, None, None, 0, 0, 0, 13_925_848
170, Faeroe Islands, None, None, 0, 0, 0, 49_276
171, Lesotho, None, None, 0, 0, 0, 2_180_041
172, Haiti, None, None, 0, 0, 0, 11_711_904
173, Cayman Islands, None, None, 0, 0, 0, 67_440
174, Saint Lucia, None, None, 0, 0, 0, 185_494
175, Benin, None, None, 0, 0, 0, 12_830_122
176, Somalia, None, None, 0, 0, 0, 16_880_391
177, Congo, None, None, 0, 0, 0, 5_820_452
178, Timor-Leste, None, None, 0, 0, 0, 1_374_343
179, Solomon Islands, None, None, 0, 0, 0, 724_383
180, Burkina Faso, None, None, 0, 0, 0, 22_179_358
181, San Marino, None, None, 0, 0, 0, 34_090
182, Gibraltar, None, None, 0, 0, 0, 33_669
183, Liechtenstein, None, None, 0, 0, 0, 38_371
184, Nicaragua, None, None, 0, 0, 0, 6_799_971
185, Bermuda, None, None, 0, 0, 0, 61_766
186, South Sudan, None, None, 0, 0, 0, 11_485_811
187, Tajikistan, None, None, 0, 0, 0, 10_014_527
188, Equatorial Guinea, None, None, 0, 0, 0, 1_505_614
189, Tonga, None, None, 0, 0, 0, 108_361
190, Samoa, None, None, 0, 0, 0, 201_348
191, Djibouti, None, None, 0, 0, 0, 1_019_979
192, Marshall Islands, None, None, 0, 0, 0, 60_079
193, CAR, None, None, 0, 0, 0, 5_016_686
194, Dominica, None, None, 0, 0, 0, 72_384
195, Gambia, None, None, 0, 0, 0, 2_567_821
196, Greenland, None, None, 0, 0, 0, 56_989
197, Saint Martin, None, None, 0, 0, 0, 40_134
198, Vanuatu, None, None, 0, 0, 0, 323_123
199, Caribbean Netherlands, None, None, 0, 0, 0, 26_765
200, Sint Maarten, None, None, 0, 0, 0, 43_959
201, Eritrea, None, None, 0, 0, 0, 3_655_669
202, Niger, None, None, 0, 0, 0, 26_157_833
203, Micronesia, None, None, 0, 0, 0, 117_706
204, Antigua and Barbuda, None, None, 0, 0, 0, 99_733
205, Guinea-Bissau, None, None, 0, 0, 0, 2_071_547
206, Comoros, None, None, 0, 0, 0, 910_837
207, Liberia, None, None, 0, 0, 0, 5_322_313
208, Sierra Leone, None, None, 0, 0, 0, 8_338_087
209, Chad, None, None, 0, 0, 0, 17_475_233
210, British Virgin Islands, None, None, 0, 0, 0, 30_679
211, St. Vincent Grenadines, None, None, 0, 0, 0, 111_724
212, Saint Kitts and Nevis, None, None, 0, 0, 0, 54_036
213, Cook Islands, None, None, 0, 0, 0, 17_600
214, Turks and Caicos, None, None, 0, 0, 0, 39_883
215, Sao Tome and Principe, None, None, 0, 0, 0, 228_218
216, St. Barth, None, None, 0, 0, 0, 9_944
217, Nauru, None, None, 0, 0, 0, 10_976
218, Anguilla, None, None, 0, 0, 0, 15_301
219, Kiribati, None, None, 0, 0, 0, 123_528
220, Saint Pierre Miquelon, None, None, 0, 0, 0, 5_731
221, Falkland Islands, None, None, 0, 0, 0, 3_706
