Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Aruba, +122, +1, 1132.240072017893, 9.280656328015517, 0, 107_751
2, Bosnia and Herzegovina, +251, +12, 77.55291209640043, 3.7077089448478295, 20.607553366174056, 3_236_500
3, Denmark, +1396, +17, 239.18333625459113, 2.9126910575415823, 8.62420460863656, 5_836_527
4, Armenia, +2329, +7, 782.7839953106903, 2.3527213255366393, 34.57541567695962, 2_975_278
5, Trinidad and Tobago, +122, +3, 86.56558833379691, 2.1286620082081207, 31.28205128205128, 1_409_336
6, North Macedonia, +253, +4, 121.44847224542384, 1.9201339485442503, 0, 2_083_188
7, Japan, +105010, +225, 835.831155961732, 1.7908962012321654, 99.5110209806114, 125_635_422
8, Croatia, +27, +7, 6.666195918016654, 1.7282730157820954, 5.947136563876652, 4_050_286
9, Peru, +761, +51, 22.401915743539455, 1.5013110419454825, 5.733011902968208, 33_970_309
10, Serbia, +3221, +13, 371.90014417625275, 1.500994062182951, 25.573640333465665, 8_660_927
11, Chile, +3818, +29, 196.06770755099467, 1.4892518383915259, 11.059934532603343, 19_472_865
12, Taiwan, +24062, +31, 1006.3385695672209, 1.2965046819293429, 67.22731336611534, 23_910_442
13, Germany, +49709, +99, 589.2058051226661, 1.1734570139641505, 0, 84_366_107
14, S. Korea, +37548, +56, 731.002833171362, 1.0902353962287277, 0, 51_365_054
15, Hong Kong, +10021, +8, 1313.5092744555411, 1.0486053483329338, 0, 7_629_181
16, Bulgaria, +724, +7, 105.92753824840038, 1.0241612814071859, 12.7419922562478, 6_834_861
17, France, +3443, +67, 52.49487096294164, 1.0215382964034534, 0, 65_587_360
18, Guatemala, +127, +15, 6.814751758984016, 0.8048919400374822, 12.586719524281467, 18_636_042
19, New Zealand, +1400, +4, 279.88244937126404, 0.7996641410607545, 0, 5_002_100  
20, Italy, +6608, +40, 109.6423494105554, 0.6636946090227324, 10.353796496505907, 60_268_683
21, Latvia, +1441, +1, 782.7582423193545, 0.5432048871057283, 23.241935483870968, 1_840_926
22, Russia, +41690, +76, 285.4102816613365, 0.5202969874373128, 0, 146_070_421
23, Belgium, +1182, +6, 101.03223834445258, 0.5128540017484902, 4.296307066007561, 11_699_236
24, Portugal, +713, +5, 70.37022634736283, 0.49347984815822465, 0, 10_132_126
25, Philippines, +2202, +51, 19.529656168696, 0.4523217368771553, 14.23768265873529, 112_751_601
26, Australia, +9020, +10, 345.02513347442647, 0.3825112344505836, 0, 26_143_023
27, Lithuania, +49, +1, 18.561681794437327, 0.3788098325395373, 2.281191806331471, 2_639_847
28, Palestine, +259, +2, 48.32777501722727, 0.3731874518704808, 0, 5_359_237
29, Czechia, +177, +4, 16.461822383260802, 0.37201858493244744, 15.012722646310433, 10_752_151
30, Slovakia, +51, +2, 9.331450941817854, 0.365939252620308, 23.28767123287671, 5_465_388
31, Brazil, +7668, +76, 35.52575436273104, 0.35210711157636404, 0, 215_843_411
32, Singapore, +1176, +2, 197.6355328521177, 0.3361148517893158, 0, 5_950_347
33, Jamaica, +127, +1, 42.485502240524816, 0.3345315137049198, 15.155131264916468, 2_989_255
34, Romania, +1176, +6, 62.028597820865734, 0.3164724378615599, 14.320506575742813, 18_958_997
35, Thailand, +1360, +22, 19.37858381793923, 0.3134770911725464, 0, 70_180_567
36, Azerbaijan, +621, +3, 60.07069769745437, 0.29019660723407903, 17.727662003996574, 10_337_819
37, Iran, +1095, +24, 12.68389578341318, 0.2780031952528916, 0, 86_329_943
38, Lebanon, +293, +1, 43.34924235732884, 0.14794963261886976, 0, 6_759_057
39, Malaysia, +1486, +4, 44.66829358250987, 0.12023766778602926, 7.142170527732385, 33_267_445
40, Saudi Arabia, +114, +3, 3.167325558364072, 0.08335067258852821, 1.567872369687801, 35_992_511
41, Bolivia, +213, +1, 17.721704345395185, 0.08320048988448443, 0, 12_019_160
42, Indonesia, +2340, +21, 8.362797870664407, 0.07505075012134724, 1.9286244127585923, 279_810_661
43, Tanzania, +239, +4, 3.7677235924825117, 0.06305813543903786, 0, 63_433_528
44, Sri Lanka, +42, +1, 1.9436918937357726, 0.0462783784222803, 0, 21_608_363
45, USA, +9480, +13, 28.275174535449395, 0.03877397351907618, 8.333919403614882, 335_276_445
46, Mexico, +990, +5, 7.50697955737241, 0.03791403816854752, 29.747596153846157, 131_877_274
47, Venezuela, +73, +1, 2.583072130484632, 0.035384549732666186, 0, 28_260_922
48, Afghanistan, +121, +1, 2.9631897145480983, 0.024489171194612382, 9.664536741214057, 40_834_375
49, Vietnam, +2161, +2, 21.775003134754037, 0.020152709981262413, 0, 99_242_236
50, Myanmar, +95, +1, 1.7209347124650507, 0.01811510223647422, 1.2049720953830543, 55_202_559
51, India, +4417, +23, 3.133745087430665, 0.016317893821803327, 1.9431356763581493, 1_409_495_628
52, Pakistan, +190, +2, 0.8253084538221416, 0.008687457408654122, 1.383327266108482, 230_216_956
53, China, +349, None, 0.24247497736047957, 0, 0, 1_439_323_776 
54, UK, None, None, 0, 0, 0, 68_661_014
55, Turkey, None, None, 0, 0, 0, 86_311_766
56, Spain, None, None, 0, 0, 0, 46_794_125
57, Argentina, None, None, 0, 0, 0, 46_097_225
58, Netherlands, None, None, 0, 0, 0, 17_217_255
59, Colombia, None, None, 0, 0, 0, 52_061_777
60, Poland, +480, None, 12.713023258105254, 0, 18.0247840781074, 37_756_558
61, Ukraine, None, None, 0, 0, 0, 43_163_146
62, Austria, +2665, None, 292.276412109083, 0, 2.94403570402775, 9_118_081
63, Greece, None, None, 0, 0, 0, 10_312_476
64, Israel, +1141, None, 122.34612910143686, 0, 0, 9_326_000 
65, Canada, None, None, 0, 0, 0, 38_461_425
66, Switzerland, None, None, 0, 0, 0, 8_792_184
67, South Africa, +108, None, 1.7724041110913358, 0, 0, 60_934_185
68, Sweden, None, None, 0, 0, 0, 10_236_129
69, Iraq, None, None, 0, 0, 0, 42_184_795
70, Hungary, None, None, 0, 0, 0, 9_607_065
71, Bangladesh, +333, None, 1.9791291029597342, 0, 6.677361138961299, 168_255_825
72, Jordan, None, None, 0, 0, 0, 10_423_305
73, Georgia, None, None, 0, 0, 0, 3_972_533
74, Ireland, None, None, 0, 0, 0, 5_057_681
75, Norway, +123, None, 22.30937590518479, 0, 0, 5_513_377
76, Kazakhstan, +562, None, 29.172187278175233, 0, 0, 19_264_925
77, Finland, None, None, 0, 0, 0, 5_559_422
78, Morocco, +7, None, 0.18488404429304026, 0, 0.2251527822450949, 37_861_569
79, Tunisia, None, None, 0, 0, 0, 12_087_431
80, Slovenia, +381, None, 183.21192137371432, 0, 86.5909090909091, 2_079_559
81, Cuba, +29, None, 2.563740784235929, 0, 0, 11_311_596
82, Costa Rica, None, None, 0, 0, 0, 5_195_228
83, UAE, +398, None, 39.211192963108076, 0, 0.2521269250017421, 10_150_163
84, Nepal, +122, None, 4.029582552753099, 0, 8.031599736668861, 30_276_089
85, Ecuador, None, None, 0, 0, 0, 18_225_457
86, Belarus, None, None, 0, 0, 0, 9_442_570
87, Panama, None, None, 0, 0, 0, 4_462_424
88, Uruguay, None, None, 0, 0, 0, 3_499_891
89, Mongolia, +298, None, 87.82637962569457, 0, 0, 3_393_058
90, Paraguay, None, None, 0, 0, 0, 7_322_990
91, Bahrain, +189, None, 103.26819241323012, 0, 5.410821643286573, 1_830_186
92, Kuwait, None, None, 0, 0, 0, 4_407_868
93, Dominican Republic, None, None, 0, 0, 0, 11_084_367
94, Estonia, None, None, 0, 0, 0, 1_328_473
95, Cyprus, None, None, 0, 0, 0, 1_226_462
96, Moldova, None, None, 0, 0, 0, 4_013_596
97, Egypt, None, None, 0, 0, 0, 106_530_479
98, Libya, +11, None, 1.554900204384564, 0, 8.94308943089431, 7_074_409
99, Ethiopia, +35, None, 0.2888866979354877, 0, 1.8181818181818181, 121_154_765
100, Réunion, None, None, 0, 0, 0, 909_199
101, Honduras, None, None, 0, 0, 0, 10_247_063
102, Qatar, +683, None, 243.25051063018978, 0, 20.47976011994003, 2_807_805 
103, Oman, None, None, 0, 0, 0, 5_388_992
104, Kenya, +2, None, 0.0354947708393704, 0, 0.29069767441860467, 56_346_328
105, Zambia, +12, None, 0.6152784088654235, 0, 1.5384615384615385, 19_503_366
106, Albania, +28, None, 9.752801318021437, 0, 0, 2_870_970
