Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Grenada, +41, +3, 362.3604691242366, 26.51418066762707, 0, 113_147
2, Guyana, +194, +9, 245.22940325826448, 11.376621800641136, 14.685844057532172, 791_096
3, North Macedonia, +464, +23, 222.72655706984014, 11.0403250271688, 10.191082802547772, 2_083_272
4, Georgia, +1838, +39, 461.8099734873839, 9.799014671386274, 7.78648591400127, 3_979_992
5, Jamaica, +560, +27, 188.13152140281613, 9.070626924778635, 38.91591382904795, 2_976_641
6, Malaysia, +19198, +292, 584.2035474952494, 8.885687877310804, 0.48210125633106327, 32_861_834
7, Bulgaria, +437, +53, 63.464576237439424, 7.697076751909129, 5.9666848716548335, 6_885_731
8, Lithuania, +813, +20, 303.73016507528996, 7.471836779219926, 7.046281851274052, 2_676_718
9, Cuba, +8034, +80, 709.8218439058119, 7.068178679669524, 14.21594649113494, 11_318_333
10, Sri Lanka, +2642, +144, 122.76525531386062, 6.691217549279307, 0, 21_520_747
11, Curaçao, +17, +1, 103.09528430040753, 6.064428488259266, 0.9444444444444444, 164_896
12, Iran, +20219, +487, 237.09402719466968, 5.710707317068309, 0, 85_278_403
13, Trinidad and Tobago, +135, +8, 96.09122260065556, 5.6942946726314405, 19.940915805022154, 1_404_915
14, Russia, +18554, +788, 127.07399202685696, 5.396912025286368, 0, 146_009_421
15, Mexico, +12511, +675, 95.83074521000809, 5.170310368216406, 33.87026909957226, 130_553_091
16, Suriname, +497, +3, 838.2229673093043, 5.059695979734231, 55.78002244668912, 592_921
17, Israel, +7822, +45, 838.7304310529702, 4.825219815569376, 5.018252272712692, 9_326_000 
18, Brunei , +128, +2, 289.27207394517393, 4.519876155393343, 3.5496394897393237, 442_490
19, Malta, +50, +2, 112.87930267681978, 4.515172107072791, 0, 442_951
20, Mongolia, +2771, +15, 829.2988190198232, 4.489167190652237, 0, 3_341_377
21, Tunisia, +1319, +47, 110.22397109808814, 3.9276168624792587, 12.589481721866946, 11_966_544
22, Vietnam, +12026, +368, 122.23228639099916, 3.740352685172766, 0, 98_386_444
23, Timor-Leste, +133, +5, 98.63271328211849, 3.7079967399292664, 0, 1_348_437
24, Azerbaijan, +2676, +38, 261.1108980721995, 3.7078528126844477, 8.994655641827165, 10_248_519
25, Moldova, +213, +14, 52.949142969646466, 3.4802253595072794, 7.385575589459084, 4_022_728
26, Palestine, +1601, +18, 305.36325448184, 3.433190868627807, 10.622346072186836, 5_242_936
27, Serbia, +5003, +28, 575.3755812121414, 3.2201711520967335, 31.07839483165611, 8_695_190
28, Croatia, +807, +13, 198.04079493133358, 3.190248245486167, 8.187075175002537, 4_074_918
29, Montenegro, +557, +2, 886.7153484536607, 3.1838971219161967, 12.94746629474663, 628_161
30, Kazakhstan, +3575, +59, 187.71042272754744, 3.09787830515393, 0, 19_045_293
31, Turkey, +21352, +243, 249.95150985192564, 2.844614878888063, 6.875631951466127, 85_424_569
32, Greece, +1319, +28, 127.29167231630021, 2.702173483590907, 1.244633168200047, 10_362_029
33, Thailand, +14029, +180, 200.38643486250317, 2.571071229257294, 0, 70_009_729
34, Eswatini, +32, +3, 27.244870940194957, 2.554206650643277, 3.7209302325581395, 1_174_533
35, Guatemala, +1070, +45, 58.433483500104494, 2.457482950938974, 14.946221539321133, 18_311_419
36, Libya, +1443, +17, 206.64476776307254, 2.434484443501201, 21.34931202840657, 6_982_998
37, Armenia, +453, +7, 152.53162084881657, 2.3570007636682475, 8.666539123780371, 2_969_876
38, South Africa, +3961, +126, 65.79426013598699, 2.0929252151311184, 11.013485332962603, 60_202_820
39, Lebanon, +785, +11, 115.6314582378944, 1.620313427537374, 0, 6_788_810
40, Chile, +441, +31, 22.83490297832895, 1.6051745857782256, 0.7819980849026492, 19_312_541
41, Morocco, +1953, +58, 52.17216526026217, 1.5494037814107557, 8.963649715439692, 37_433_754
42, Namibia, +87, +4, 33.51473666084589, 1.5409074326825696, 6.492537313432837, 2_595_873
43, Romania, +2255, +29, 118.1628078082193, 1.5196103886644612, 6.790123456790123, 19_083_839
44, Estonia, +238, +2, 179.27032458474062, 1.5064733158381567, 8.512160228898425, 1_327_604
45, Philippines, +21400, +167, 192.23023706533485, 1.5001144668182675, 24.106428756491276, 111_324_838
46, Myanmar, +1953, +79, 35.6085598602044, 1.4403872140072442, 9.199246349505417, 54_846_363
47, Albania, +864, +4, 300.62295757319333, 1.391772951727747, 19.935394554683896, 2_874_032
48, El Salvador, +321, +9, 49.192499752888146, 1.379228965034247, 3.2358870967741935, 6_525_385
49, Panama, +214, +6, 48.68129425817783, 1.3648961006965747, 4.240982956797463, 4_395_939
50, Brazil, +10615, +292, 49.517713101740796, 1.3621452873959787, 0, 214_367_735
51, Belarus, +1907, +12, 201.89296623750383, 1.270432928605163, 7.569863448713877, 9_445_599
52, Iraq, +3554, +51, 86.05369590817581, 1.2348729576018478, 12.645886706518644, 41_299_795
53, Bolivia, +230, +14, 19.387388857578724, 1.1801019304613136, 0, 11_863_382
54, Latvia, +393, +2, 211.15568245194194, 1.0745836257096282, 3.765449841908594, 1_861_186
55, Peru, +759, +36, 22.642570556442514, 1.0739559157205933, 1.931789259353525, 33_520_929
56, Colombia, +1671, +55, 32.42670516731481, 1.0673062742084467, 3.551918376022957, 51_531_600
57, Mauritania, +107, +5, 22.312938334545603, 1.0426606698385794, 0, 4_795_424
58, Argentina, +930, +46, 20.3536906789223, 1.0067416894950816, 0, 45_691_959
59, USA, +43329, +318, 129.98984027801006, 0.9540208453554709, 4.285103950535724, 333_326_050
60, UK, +28992, +56, 424.39999594220205, 0.819757166555026, 1.4283708384140708, 68_312_913
61, Portugal, +911, +8, 89.65582398721396, 0.7873178835320654, 0, 10_161_080
62, Spain, +2601, +34, 55.60487878617435, 0.7268611606035864, 0, 46_776_471
63, Cambodia, +662, +12, 38.951312976977064, 0.7060660962594031, 11.353112673640885, 16_995_576
64, Paraguay, +34, +5, 4.697880675488919, 0.6908648052189585, 1.569713758079409, 7_237_306
65, Indonesia, +3779, +188, 13.643423646142836, 0.6787413721817552, 1.7251375225400014, 276_983_263
66, Rwanda, +227, +8, 17.02253641341757, 0.5999131775653769, 0.9588578187040635, 13_335_263
67, Jordan, +883, +6, 85.52633809249146, 0.58115292022078, 3.0395869191049916, 10_324_305
68, Italy, +4656, +34, 77.14318122374733, 0.5633307907232409, 1.741485199619985, 60_355_302
69, Ukraine, +2196, +22, 50.57717865573045, 0.5066930466421082, 11.62704505744692, 43_418_792
70, Yemen, +56, +15, 1.8294631910699197, 0.4900347833222999, 0, 30_610_072
71, Kyrgyzstan, +75, +3, 11.273426744446297, 0.45093706977785186, 0, 6_652_813
72, Algeria, +246, +20, 5.49144688173658, 0.44645909607614465, 0, 44_796_937
73, France, +7679, +29, 117.3324956006044, 0.4431100888680203, 0, 65_446_490
74, Nepal, +838, +13, 28.155925634622974, 0.43678643585930627, 10.637217567910637, 29_762_829
75, Japan, +9048, +52, 71.80241764961833, 0.41265757269895587, 11.194694645154904, 126_012_470
76, Venezuela, +892, +11, 31.475625674216193, 0.38815233454750914, 0, 28_339_389
77, Oman, +69, +2, 13.114003836511326, 0.3801160532322123, 0, 5_261_551
78, Angola, +98, +12, 2.8752072056213236, 0.35206618844342735, 0, 34_084_500
79, Syria, +140, +6, 7.774365263336354, 0.3331870827144152, 0, 18_007_901
80, Ivory Coast, +225, +9, 8.28498431284248, 0.3313993725136992, 0, 27_157_565
81, Bangladesh, +1871, +51, 11.226977061359698, 0.3060266328858068, 7.4619127382946475, 166_652_162
82, Uruguay, +139, +1, 39.84926085354823, 0.28668532988164197, 2.7106084243369732, 3_488_145
83, Ghana, +742, +9, 23.298653507386206, 0.2825982231354122, 0, 31_847_334
84, Australia, +1655, +7, 64.0139938071586, 0.2707540523565621, 0.9460007888103253, 25_853_722
85, Pakistan, +3153, +58, 13.950423372120762, 0.25662053776815863, 5.45577242524917, 226_014_646
86, Canada, +1963, +9, 51.47084831955284, 0.2359845312664165, 0, 38_138_093
87, Kuwait, +50, +1, 11.504670551103631, 0.23009341102207262, 0.3972983710766786, 4_346_061
88, Ecuador, +16, +4, 0.8907072181910917, 0.22267680454777292, 0.6606110652353426, 17_963_254
89, Austria, +1857, +2, 204.78804822984608, 0.2205579410122198, 0, 9_067_912
90, Ethiopia, +472, +22, 3.9878021243799204, 0.18587213291601323, 13.602305475504323, 118_360_938
91, Senegal, +38, +3, 2.200324489958993, 0.17370982815465733, 1.3914317099963385, 17_270_180
92, Saudi Arabia, +80, +6, 2.2559469369697167, 0.16919602027272876, 0.1808849797634929, 35_461_827
93, India, +31374, +219, 22.470426202168824, 0.15685036457815302, 1.9501006936674872, 1_396_235_199
94, Guinea, +28, +2, 2.065264268634234, 0.14751887633101674, 2.8197381671701915, 13_557_587
95, Uzbekistan, +594, +5, 17.445440120259583, 0.1468471390594241, 0, 34_049_012
96, Zimbabwe, +49, +2, 3.2404091988736337, 0.13226159995402587, 2.407862407862408, 15_121_547
97, Germany, +6963, +10, 82.78962144169155, 0.11889935579734533, 0, 84_104_745
98, Zambia, +102, +2, 5.3690384920581655, 0.10527526455016012, 1.851515701579234, 18_997_815
99, Egypt, +481, +11, 4.5967259365578235, 0.10512263056577144, 0, 104_639_695
100, Malawi, +15, +2, 0.7606654808737005, 0.10142206411649338, 5.7034220532319395, 19_719_575
101, Haiti, +52, +1, 4.494867639113993, 0.0864397622906537, 1.2572533849129592, 11_568_750
102, Kenya, +269, +4, 4.874503815377425, 0.07248332810970148, 6.947314049586777, 55_185_104
103, Uganda, +214, +3, 4.508856669198439, 0.06320827106352953, 4.423315419594874, 47_462_143
104, Netherlands, +2082, +1, 121.18546626544693, 0.05820627582394185, 0, 17_180_278
105, Afghanistan, +104, +2, 2.601643067679393, 0.05003159745537294, 25.806451612903224, 39_974_738
106, Nigeria, +365, +8, 1.7197917483911311, 0.03769406571816178, 0, 212_234_999
107, S. Korea, +1755, +1, 34.195836770859266, 0.01948480727684289, 4.533360886523907, 51_322_037
108, China, +46, None, 0.031959452603387, 0, 0, 1_439_323_776 
109, Poland, +477, None, 12.620066572570886, 0, 1.5510177537881251, 37_796_948
110, Czechia, +254, None, 23.665825132286372, 0, 0.519586785312468, 10_732_776
111, Belgium, None, None, 0, 0, 0, 11_650_012
112, Sweden, None, None, 0, 0, 0, 10_174_641
113, Hungary, None, None, 0, 0, 0, 9_630_957
114, Switzerland, +3, None, 0.3436281659178818, 0, 0, 8_730_367
115, UAE, +620, None, 61.79421291215992, 0, 0.1642845408247084, 10_033_302
116, Costa Rica, None, None, 0, 0, 0, 5_149_772
117, Slovakia, +412, None, 75.4190608862472, 0, 9.143364403018198, 5_462_810
118, Ireland, +1346, None, 268.9979825151311, 0, 0, 5_003_755
119, Dominican Republic, +232, None, 21.13309459009175, 0, 5.717102020699852, 10_978_042
120, Denmark, +434, None, 74.61370217029598, 0, 0.5857740585774058, 5_816_626
121, Honduras, None, None, 0, 0, 0, 10_092_859
122, Slovenia, +559, None, 268.8430610595975, 0, 20.551470588235293, 2_079_280
123, Bahrain, +121, None, 68.2843087737436, 0, 0.6438567551747991, 1_772_003
124, Qatar, +133, None, 47.36796180646448, 0, 2.808277027027027, 2_807_805 
125, Bosnia and Herzegovina, None, None, 0, 0, 0, 3_256_355
126, Norway, +653, None, 119.33547138150819, 0, 0, 5_471_969
127, Botswana, None, None, 0, 0, 0, 2_408_324
128, Mozambique, +119, None, 3.684269155242904, 0, 10.188356164383562, 32_299_486
129, Finland, +976, None, 175.82325727356135, 0, 38.11011323701679, 5_551_029
130, Cyprus, +100, None, 82.11009814620031, 0, 0, 1_217_877
131, Cameroon, None, None, 0, 0, 0, 27_334_185
132, Maldives, +138, None, 250.03759623276687, 0, 2.4634059264548376, 551_917
133, Luxembourg, None, None, 0, 0, 0, 638_147
134, Singapore, +520, None, 88.05498559708307, 0, 0, 5_905_401
135, DRC, None, None, 0, 0, 0, 92_806_327
136, Réunion, None, None, 0, 0, 0, 902_959
137, Guadeloupe, None, None, 0, 0, 0, 400_206
138, Fiji, +128, None, 141.5586268370826, 0, 12.77445109780439, 904_219
139, Madagascar, None, None, 0, 0, 0, 28_540_158
140, French Polynesia, None, None, 0, 0, 0, 282_852
141, Martinique, None, None, 0, 0, 0, 374_916
142, Sudan, None, None, 0, 0, 0, 45_071_029
143, French Guiana, None, None, 0, 0, 0, 307_916
144, Cabo Verde, +69, None, 122.5120292608441, 0, 0, 563_210
145, Gabon, None, None, 0, 0, 0, 2_288_404
146, Togo, +100, None, 11.75051264549044, 0, 6.798096532970768, 8_510_267
147, Seychelles, None, None, 0, 0, 0, 99_076
148, Mayotte, None, None, 0, 0, 0, 280_669
149, Benin, None, None, 0, 0, 0, 12_501_931
150, Bahamas, None, None, 0, 0, 0, 397_739
151, Papua New Guinea, +23, None, 2.51381367940897, 0, 0, 9_149_445
152, Somalia, None, None, 0, 0, 0, 16_421_904
153, Belize, None, None, 0, 0, 0, 406_251
154, Laos, +217, None, 29.3173634314123, 0, 5.303030303030303, 7_401_757
155, Tajikistan, +20, None, 2.0422058600688713, 0, 0, 9_793_332
156, Taiwan, +14, None, 0.5865494819008427, 0, 0.015672402019500948, 23_868_404
157, Andorra, None, None, 0, 0, 0, 77_413
158, Aruba, +19, None, 177.0587741941496, 0, 0, 107_309
