Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Mongolia, +2642, +11, 793.6751123071313, 3.3044762435194714, 22.894280762564993, 3_328_818
2, Botswana, +1790, +14, 746.7618071802608, 5.840595139957347, 12.02472121456402, 2_397_016
3, Uruguay, +2147, +32, 616.0174286738181, 9.181442812092305, 11.350779804388052, 3_485_291
4, Colombia, +29945, +596, 582.556278739824, 11.594708369642182, 28.015043643405775, 51_402_759
5, Argentina, +23780, +528, 521.5658829060906, 11.580604969487627, 24.033311098983283, 45_593_473
6, Namibia, +1016, +34, 393.0489144731752, 13.15321170481098, 33.09446254071661, 2_584_920
7, Oman, +2015, +35, 385.23445101031797, 6.691417263206516, 0, 5_230_581
8, Kuwait, +1646, +5, 380.0471988143266, 1.154456861525901, 13.223007712082262, 4_331_041
9, Costa Rica, +1869, +22, 363.70882588408097, 4.281216784082281, 0, 5_138_726
10, Brazil, +74327, +2335, 347.3076255132713, 10.910749869811625, 4.02930621361118, 214_009_122
11, Chile, +6670, +218, 346.0695937132593, 11.310820304271443, 8.170915461038087, 19_273_580
12, Paraguay, +2482, +113, 343.93485025877567, 15.658597131040148, 28.47309854307675, 7_216_483
13, Bahrain, +547, +12, 311.17310554172565, 6.8264666663632685, 3.771373414230557, 1_757_864
14, Trinidad and Tobago, +350, +4, 249.3161613859129, 2.8493275586961477, 28.57142857142857, 1_403_840
15, Bolivia, +2836, +88, 239.8202193982931, 7.441530080059871, 17.581055111276424, 11_825_525
16, Panama, +969, +1, 221.2438883944452, 0.22832186624813747, 8.206995849919538, 4_379_782
17, UAE, +2167, +3, 216.59380405787041, 0.29985298208288474, 0.8886829284296518, 10_004_903
18, Tunisia, +2379, +71, 199.2935174652411, 5.947809894927331, 31.93288590604027, 11_937_167
19, South Africa, +11767, +100, 196.0347045566915, 1.665970124557589, 22.57761234122568, 60_025_086
20, Georgia, +741, +18, 186.0965064838685, 4.520562910539316, 2.3636363636363638, 3_981_805
21, Zambia, +3394, +33, 179.81497918114462, 1.7483483538532034, 21.20984876890389, 18_874_957
22, Malaysia, +5738, +60, 175.1351757871255, 1.83131937037775, 6.966213017033107, 32_763_264
23, UK, +11007, +19, 161.3259761144925, 0.2784767462683163, 0.9503523564973986, 68_228_318
24, Peru, +4526, +235, 135.46143669394124, 7.033459483666856, 8.028381374722839, 33_411_723
25, Iraq, +5189, +30, 126.29997824495652, 0.730198371044266, 11.556792873051226, 41_084_726
26, Cuba, +1418, +5, 125.2653385772808, 0.4416972446307504, 4.930973328233126, 11_319_971
27, Portugal, +1233, +2, 121.26138989156006, 0.19669325205443644, 2.180602716468591, 10_168_117
28, Iran, +10291, +139, 121.03803469986737, 1.6348544187427427, 8.02755156167119, 85_022_861
29, Kyrgyzstan, +787, +4, 118.75296410868958, 0.603572879840862, 11.361339685289447, 6_627_203
30, Sri Lanka, +2372, +51, 110.32838322312743, 2.3721532649154717, 0, 21_499_454
31, Russia, +14057, +416, 96.284385099539, 2.849420516568842, 4.685666666666666, 145_994_597
32, Guatemala, +1725, +22, 94.61111540746127, 1.206634515341535, 25.37137814384468, 18_232_530
33, Belarus, +873, +9, 92.41678466656278, 0.9527503573872452, 4.218002609073778, 9_446_336
34, Spain, +4197, +19, 89.732826442282, 0.40622437512588944, 0, 46_772_181
35, Dominican Republic, +982, +7, 89.66232638310302, 0.6391408194314879, 18.51782010182915, 10_952_203
36, Honduras, +813, +17, 80.85220008980262, 1.6906364102418754, 29.42453854505972, 10_055_385
37, Latvia, +141, +7, 75.55824683432381, 3.751118637165012, 1.4620489423475735, 1_866_110
38, Ireland, +373, None, 74.73976335747848, 0, 0, 4_990_650
39, Turkey, +5904, +62, 69.28848390542005, 0.7276229678414707, 2.6232538300216826, 85_208_965
40, Ecuador, +1161, +22, 64.86202378229513, 1.2290822766670908, 22.296908008450163, 17_899_534
41, Netherlands, +1064, +2, 61.963887167022726, 0.11647347211846378, 0, 17_171_292
42, Kazakhstan, +1145, +8, 60.28879967316626, 0.42123178810945855, 0, 18_991_919
43, Philippines, +6623, +154, 59.67843514654885, 1.3876610316425373, 11.692943274306598, 110_978_111
44, Nepal, +1768, +39, 59.652950739281586, 1.3158739133665056, 22.92828426922578, 29_638_098
45, Afghanistan, +2313, +101, 58.16551400623314, 2.5398689643880443, 37.96782665791202, 39_765_831
46, Belgium, +671, +11, 57.655706926847714, 0.945175523390946, 1.4509049235626095, 11_638_050
47, Denmark, +331, +1, 56.95319342233632, 0.17206402846627286, 0.07551974008432658, 5_811_790
48, Cyprus, +65, None, 53.46313634498035, 0, 0.19029774277600492, 1_215_791
49, Jordan, +522, +13, 50.67840127313464, 1.2621057788328551, 2.460871204978314, 10_300_246
50, Venezuela, +1405, +20, 49.5443017388322, 0.7052569642538391, 0, 28_358_458
51, Greece, +512, +16, 49.353816838153506, 1.542306776192297, 1.3024344331103255, 10_374_071
52, Indonesia, +12624, +277, 45.69010313313838, 1.0025474150728242, 9.649236790008331, 276_296_159
53, Qatar, +127, +2, 45.231061273842016, 0.7123001775408193, 2.187769164513351, 2_807_805 
54, India, +62409, +1310, 44.80145827702193, 0.9404077992420762, 3.2315356538695945, 1_393_012_692
55, Thailand, +3129, +30, 44.72030749163195, 0.428766131271639, 0, 69_968_213
56, Lithuania, +109, +6, 40.585639609201245, 2.234071905093647, 0.9424174303994467, 2_685_679
57, Norway, +219, None, 40.0958932650983, 0, 1.1922909407665505, 5_461_906
58, Slovenia, +82, None, 39.43799889669793, 0, 3.399668325041459, 2_079_213
59, USA, +13023, +354, 39.12390688215749, 1.0634925160319242, 1.6795289116786776, 332_865_530
60, Libya, +258, +4, 37.06479040292013, 0.5746479132235679, 7.660332541567697, 6_960_784
61, Saudi Arabia, +1309, +14, 37.04766401317844, 0.39623170067570523, 1.3790415187366336, 35_332_862
62, Cambodia, +625, +12, 36.893697098496666, 0.708358984291136, 9.797773945759523, 16_940_563
63, Uganda, +1584, +34, 33.6183607186434, 0.7216062275466386, 14.060003550505948, 47_117_110
64, Palestine, +170, +1, 32.60031837087388, 0.1917665786521993, 7.40418118466899, 5_214_673
65, Armenia, +96, +1, 32.33886822045945, 0.336863210629786, 2.5170424750917673, 2_968_564
66, Rwanda, +422, +1, 31.82812930848788, 0.07542210736608504, 7.31369150779896, 13_258_712
67, Congo, +177, +1, 31.33991412509407, 0.17706166172369528, 0, 5_647_750
68, France, +2044, +62, 31.24796674189008, 0.9478346076307167, 0.5992412737688289, 65_412_256
69, Estonia, +40, +1, 30.13427834430221, 0.7533569586075552, 0.9487666034155597, 1_327_392
70, Mexico, +3789, +200, 29.09438977926757, 1.5357292045007953, 20.819825265124457, 130_231_293
71, Canada, +1107, +11, 29.08602258178887, 0.28902100126438807, 1.3080158805180073, 38_059_518
72, Ukraine, +1188, +55, 27.322330223110743, 1.2649226955143864, 4.394141145139813, 43_480_918
73, Jamaica, +74, +11, 24.88586133329029, 3.699249657651259, 3.2286212914485164, 2_973_576
74, Zimbabwe, +371, +7, 24.61829205456236, 0.46449607650117664, 10.486150367439231, 15_070_095
75, Lebanon, +165, +3, 24.27884116649679, 0.44143347575448705, 0, 6_796_041
76, Eritrea, +86, +2, 23.932572481604616, 0.5565714530605724, 0, 3_593_429
77, Croatia, +95, +3, 23.279155794892507, 0.7351312356281844, 1.8297380585516179, 4_080_904
78, Bangladesh, +3840, +63, 23.096015459173596, 0.3789190036270668, 15.439668690442684, 166_262_445
79, Switzerland, +194, +1, 22.259589264682006, 0.11474015084887633, 0.9189522050116053, 8_715_345
80, Italy, +1325, +37, 21.945678334457835, 0.6128227157546716, 0.6614582033297557, 60_376_352
81, Austria, +179, +3, 19.766512215483694, 0.3312823276338049, 0.03402737778183318, 9_055_720
82, Timor-Leste, +26, None, 19.367458795731412, 0, 0, 1_342_458
83, Bosnia and Herzegovina, +61, +18, 18.70488596152313, 5.519474546023219, 0.5069392503947479, 3_261_180
84, Bulgaria, +110, +23, 15.94643389898717, 3.3342543606973174, 0.8047995317529998, 6_898_094
85, Serbia, +135, +5, 15.510971024701854, 0.5744804083222909, 1.4694677261347555, 8_703_517
86, Moldova, +57, +3, 14.161673641497977, 0.7453512442893673, 1.0575139146567718, 4_024_948
87, Eswatini, +16, None, 13.655617280842279, 0, 1.9441069258809234, 1_171_679
88, Japan, +1710, +82, 13.560225350010231, 0.6502564202928883, 2.517111945241775, 126_104_099
89, Liberia, +67, None, 12.956366245919954, 0, 27.346938775510203, 5_171_203
90, Morocco, +468, +4, 12.536904843927857, 0.10715303285408424, 3.2681564245810057, 37_329_788
91, Equatorial Guinea, +18, None, 12.440587555127355, 0, 0, 1_446_877
92, Czechia, +131, +1, 12.210960278305494, 0.09321343723897324, 0.07806354730293424, 10_728_067
93, Kenya, +660, +6, 12.02122138997121, 0.10928383081792008, 10.686528497409327, 54_902_907
94, Hungary, +113, +4, 11.725929132012482, 0.41507713741637103, 1.0364119966981564, 9_636_763
95, Mauritania, +54, +1, 11.329604634563603, 0.20980749323265932, 3.450479233226837, 4_766_274
96, Slovakia, +61, +8, 11.167696139071136, 1.4646158870912966, 1.395242451967063, 5_462_183
97, Uzbekistan, +371, +2, 10.933095818948404, 0.05893852193503184, 0, 33_933_664
98, Germany, +893, +72, 10.625737041518038, 0.8567223594505025, 0, 84_041_229
99, S. Korea, +540, +1, 10.523939594691514, 0.019488777027206507, 1.8979333614508647, 51_311_583
100, Finland, +55, None, 9.911715449426913, 0, 0.39855072463768115, 5_548_989
101, Haiti, +107, +4, 9.275541221328716, 0.34674920453565294, 27.72020725388601, 11_535_715
102, Algeria, +382, +7, 8.563396528210744, 0.15692087878920208, 0, 44_608_468
103, Djibouti, +8, None, 7.985968653076545, 0, 1.238390092879257, 1_001_757
104, Taiwan, +174, +19, 7.293093675010022, 0.796372297845922, 0.28457412010990446, 23_858_188
105, Myanmar, +362, None, 6.610688742276475, 0, 8.668582375478927, 54_759_801
106, Sierra Leone, +48, None, 5.902573595869969, 0, 0, 8_132_046
107, Poland, +218, +46, 5.766164111960604, 1.2167135282118706, 0.42405026357252623, 37_806_763
108, Angola, +195, +4, 5.762353962373365, 0.11820213256150494, 8.290816326530612, 33_840_337
109, Egypt, +591, +37, 5.672862818284199, 0.3551538481836132, 0, 104_180_203
110, Vietnam, +515, None, 5.245549146456465, 0, 0, 98_178_472
111, Mozambique, +165, None, 5.141703798597281, 0, 9.903961584633853, 32_090_530
112, Senegal, +88, +2, 5.1267307449751485, 0.11651660784034429, 6.533036377134373, 17_164_935
113, Pakistan, +1119, +46, 4.9734789125871925, 0.20445042893566653, 3.0083879987095385, 224_993_414
114, North Macedonia, +10, None, 4.80009523388944, 0, 0.2833663927458203, 2_083_292
115, Azerbaijan, +48, None, 4.693542477586135, 0, 0.58809115412889, 10_226_817
116, Singapore, +27, None, 4.580557501349992, 0, 0, 5_894_479
117, Romania, +87, +5, 4.551595394350486, 0.26158594220405096, 0.3169283450511821, 19_114_177
118, Guinea-Bissau, +9, None, 4.47222968974155, 0, 3.0716723549488054, 2_012_419
119, DRC, +358, +9, 3.8847097995906426, 0.09766030222434577, 35.4806739345887, 92_156_176
120, Israel, +27, None, 2.895131889341626, 0, 0, 9_326_000 
121, Malawi, +52, +1, 2.652833297384041, 0.051016024949693095, 6.039488966318235, 19_601_684
122, Syria, +45, +6, 2.513046621147388, 0.33507288281965175, 0, 17_906_552
123, Albania, +5, None, 1.739265946285902, 0, 0.19076688286913393, 2_874_776
124, Togo, +13, None, 1.535912831984605, 0, 1.8651362984218076, 8_464_022
125, Ivory Coast, +40, None, 1.481381186488559, 0, 0, 27_001_828
126, Ethiopia, +174, +2, 1.4785609679346692, 0.016994953654421486, 3.018736988202637, 117_681_992
127, Burundi, +16, None, 1.308436726412341, 0, 0, 12_228_333
128, Madagascar, +36, None, 1.2689286706643323, 0, 23.376623376623375, 28_370_389
129, Papua New Guinea, +8, +2, 0.8782429257257882, 0.21956073143144705, 2.8469750889679712, 9_109_097
130, Somalia, +14, None, 0.8580482381235858, 0, 1.6706443914081146, 16_316_099
131, South Sudan, +5, None, 0.4417161697978159, 0, 0, 11_319_486
132, Australia, +11, None, 0.4266308069252419, 0, 0.014133186005576184, 25_783_417
