1: Czechia, daily cases: +11,220, daily deaths: +207, population: 10,722,817, daily cases ratio: 1046.3668269261705, daily deaths ratio: 19.304628625108492
2: Slovakia, daily cases: +2,301, daily deaths: +102, population: 5,461,485, daily cases ratio: 421.3139832847659, daily deaths ratio: 18.676239154735388
3: Bulgaria, daily cases: +3,159, daily deaths: +102, population: 6,911,877, daily cases ratio: 457.03938307929957, daily deaths ratio: 14.757207050993529
4: Hungary, daily cases: +9,011, daily deaths: +130, population: 9,643,236, daily cases ratio: 934.4373610684214, daily deaths ratio: 13.48095182986292
5: Malta, daily cases: +329, daily deaths: +5, population: 442,362, daily cases ratio: 743.7347692613741, daily deaths ratio: 11.30296001916982
6: Bosnia and Herzegovina, daily cases: +1,170, daily deaths: +36, population: 3,266,560, daily cases ratio: 358.17496081504703, daily deaths ratio: 11.02076802507837
7: Brazil, daily cases: +84,047, daily deaths: +2,152, population: 213,609,288, daily cases ratio: 393.46135548188334, daily deaths ratio: 10.074468297464668
8: Luxembourg, daily cases: +182, daily deaths: +6, population: 633,023, daily cases ratio: 287.50930060993045, daily deaths ratio: 9.478328591536169
9: Moldova, daily cases: +1,785, daily deaths: +38, population: 4,027,422, daily cases ratio: 443.2115631289693, daily deaths ratio: 9.435316189860412
10: Poland, daily cases: +18,789, daily deaths: +352, population: 37,817,707, daily cases ratio: 496.830757084241, daily deaths ratio: 9.30780916992138
11: North Macedonia, daily cases: +868, daily deaths: +15, population: 2,083,314, daily cases ratio: 416.64386645508074, daily deaths ratio: 7.200066816620058
12: Lebanon, daily cases: +2,930, daily deaths: +48, population: 6,804,102, daily cases ratio: 430.6225861987372, daily deaths ratio: 7.054567965030507
13: Estonia, daily cases: +1,358, daily deaths: +9, population: 1,327,157, daily cases ratio: 1023.239903040861, daily deaths ratio: 6.78141320130173
14: Montenegro, daily cases: +581, daily deaths: +4, population: 628,121, daily cases ratio: 924.9810148044724, daily deaths ratio: 6.368199757689999
15: Italy, daily cases: +26,824, daily deaths: +380, population: 60,399,822, daily cases ratio: 444.1072690578459, daily deaths ratio: 6.291409269384934
16: Romania, daily cases: +5,010, daily deaths: +108, population: 19,148,003, daily cases ratio: 261.6460839284389, daily deaths ratio: 5.640274863128024
17: Albania, daily cases: +681, daily deaths: +16, population: 2,875,606, daily cases ratio: 236.81964775424728, daily deaths ratio: 5.564044587471302
18: Peru, daily cases: +8,039, daily deaths: +180, population: 33,289,963, daily cases ratio: 241.4841975042147, daily deaths ratio: 5.407035147500765
19: Jordan, daily cases: +7,705, daily deaths: +55, population: 10,273,423, daily cases ratio: 749.9934539831563, daily deaths ratio: 5.353619723435899
20: Ukraine, daily cases: +12,946, daily deaths: +230, population: 43,550,185, daily cases ratio: 297.26624582651027, daily deaths ratio: 5.281263443542203
21: Mexico, daily cases: +6,470, daily deaths: +654, population: 129,872,506, daily cases ratio: 49.81808851828885, daily deaths ratio: 5.035707865681748
