Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Saint Lucia, +109, +7, 590.1749408471447, 37.90114299018361, 17.44, 184_691
2, Grenada, +23, +3, 203.20893412496466, 26.505513146734522, 4.75206611570248, 113_184
3, New Caledonia, +151, +6, 522.5347433696916, 20.762969935219534, 0, 288_976
4, Romania, +13854, +357, 726.2996380769323, 18.715820037062567, 20.986139513746878, 19_074_772
5, Suriname, +261, +9, 439.9168034734887, 15.169544947361679, 33.85214007782101, 593_294
6, French Guiana, +161, +4, 521.9342038720386, 12.967309412969902, 10.7981220657277, 308_468
7, Montenegro, +391, +8, 622.4459419230873, 12.735466842416109, 13.91459074733096, 628_167
8, Bulgaria, +2485, +81, 361.08495202801146, 11.769771072140415, 11.414266685039731, 6_882_037
9, Armenia, +1202, +33, 404.6771521367257, 11.11010484235603, 14.015858208955223, 2_970_269
10, Bahamas, +62, +4, 155.77654608221985, 10.050099747239992, 20.52980132450331, 398_006
11, Lithuania, +2452, +25, 916.9645929006298, 9.349149601352261, 9.281550458021046, 2_674_040
12, Bosnia and Herzegovina, +694, +30, 213.21614433319724, 9.216836210368758, 27.16242661448141, 3_254_913
13, North Macedonia, +385, +16, 184.80606163882177, 7.6802519122627215, 10.15563175943023, 2_083_265
14, Georgia, +2661, +30, 668.6853710939954, 7.538730226538843, 7.223127035830619, 3_979_450
15, Russia, +27246, +936, 186.59873575966432, 6.410350755011591, 4.5409999999999995, 146_013_851
16, Moldova, +1470, +25, 365.4838994397157, 6.215712575505369, 8.062304612515767, 4_022_065
17, USA, +106298, +1937, 318.7693513017911, 5.808728607044059, 4.451923556144504, 333_463_677
18, Serbia, +6401, +49, 736.3648264946848, 5.636912435281919, 30.309200246223778, 8_692_702
19, Ukraine, +16362, +241, 377.00265378808524, 5.552966603283738, 30.749281163669167, 43_400_225
20, Costa Rica, +1368, +28, 265.4726606822764, 5.433650949637236, 0, 5_153_073
21, Croatia, +1691, +22, 415.1599421476708, 5.401252943375964, 17.226976365118173, 4_073_129
22, Jamaica, +205, +16, 68.84838812489568, 5.373532731699175, 15.219005196733482, 2_977_557
