1: Monaco, daily cases: +22, daily deaths: +1, population: 39,435, daily cases ratio: 557.8800557880056, daily deaths ratio: 25.358184354000255
2: Czechia, daily cases: +11,220, daily deaths: +207, population: 10,722,817, daily cases ratio: 1046.3668269261705, daily deaths ratio: 19.304628625108492
3: Slovakia, daily cases: +2,301, daily deaths: +102, population: 5,461,485, daily cases ratio: 421.3139832847659, daily deaths ratio: 18.676239154735388
4: Bulgaria, daily cases: +3,159, daily deaths: +102, population: 6,911,877, daily cases ratio: 457.03938307929957, daily deaths ratio: 14.757207050993529
5: Hungary, daily cases: +9,011, daily deaths: +130, population: 9,643,236, daily cases ratio: 934.4373610684214, daily deaths ratio: 13.48095182986292
6: Isle of Man, daily cases: +66, daily deaths: +1, population: 85,346, daily cases ratio: 773.3227099102477, daily deaths ratio: 11.717010756215874
7: Malta, daily cases: +329, daily deaths: +5, population: 442,362, daily cases ratio: 743.7347692613741, daily deaths ratio: 11.30296001916982
8: Bosnia and Herzegovina, daily cases: +1,170, daily deaths: +36, population: 3,266,560, daily cases ratio: 358.17496081504703, daily deaths ratio: 11.02076802507837
9: Brazil, daily cases: +84,047, daily deaths: +2,152, population: 213,609,288, daily cases ratio: 393.46135548188334, daily deaths ratio: 10.074468297464668
10: Luxembourg, daily cases: +182, daily deaths: +6, population: 633,023, daily cases ratio: 287.50930060993045, daily deaths ratio: 9.478328591536169
11: Moldova, daily cases: +1,785, daily deaths: +38, population: 4,027,422, daily cases ratio: 443.2115631289693, daily deaths ratio: 9.435316189860412
12: Poland, daily cases: +18,789, daily deaths: +352, population: 37,817,707, daily cases ratio: 496.830757084241, daily deaths ratio: 9.30780916992138
13: North Macedonia, daily cases: +868, daily deaths: +15, population: 2,083,314, daily cases ratio: 416.64386645508074, daily deaths ratio: 7.200066816620058
14: Lebanon, daily cases: +2,930, daily deaths: +48, population: 6,804,102, daily cases ratio: 430.6225861987372, daily deaths ratio: 7.054567965030507
15: Estonia, daily cases: +1,358, daily deaths: +9, population: 1,327,157, daily cases ratio: 1023.239903040861, daily deaths ratio: 6.78141320130173
16: Montenegro, daily cases: +581, daily deaths: +4, population: 628,121, daily cases ratio: 924.9810148044724, daily deaths ratio: 6.368199757689999
17: Italy, daily cases: +26,824, daily deaths: +380, population: 60,399,822, daily cases ratio: 444.1072690578459, daily deaths ratio: 6.291409269384934
18: Romania, daily cases: +5,010, daily deaths: +108, population: 19,148,003, daily cases ratio: 261.6460839284389, daily deaths ratio: 5.640274863128024
19: Albania, daily cases: +681, daily deaths: +16, population: 2,875,606, daily cases ratio: 236.81964775424728, daily deaths ratio: 5.564044587471302
20: Saint Lucia, daily cases: +23, daily deaths: +1, population: 184,211, daily cases ratio: 124.85682179674394, daily deaths ratio: 5.42855746942365
21: Peru, daily cases: +8,039, daily deaths: +180, population: 33,289,963, daily cases ratio: 241.4841975042147, daily deaths ratio: 5.407035147500765
22: Jordan, daily cases: +7,705, daily deaths: +55, population: 10,273,423, daily cases ratio: 749.9934539831563, daily deaths ratio: 5.353619723435899
23: Ukraine, daily cases: +12,946, daily deaths: +230, population: 43,550,185, daily cases ratio: 297.26624582651027, daily deaths ratio: 5.281263443542203
24: Mexico, daily cases: +6,470, daily deaths: +654, population: 129,872,506, daily cases ratio: 49.81808851828885, daily deaths ratio: 5.035707865681748
25: Latvia, daily cases: +632, daily deaths: +9, population: 1,871,599, daily cases ratio: 337.67917166016866, daily deaths ratio: 4.808722381236579
26: Greece, daily cases: +2,357, daily deaths: +49, population: 10,387,498, daily cases ratio: 226.90738424209565, daily deaths ratio: 4.717209091159392
27: Chile, daily cases: +5,973, daily deaths: +89, population: 19,230,141, daily cases ratio: 310.6061468816063, daily deaths ratio: 4.628151192443155
28: USA, daily cases: +66,785, daily deaths: +1,505, population: 332,352,077, daily cases ratio: 200.9465401956853, daily deaths ratio: 4.5283303585312025
29: France, daily cases: +25,229, daily deaths: +254, population: 65,374,087, daily cases ratio: 385.91743545114446, daily deaths ratio: 3.885331507574248
30: Slovenia, daily cases: +770, daily deaths: +8, population: 2,079,137, daily cases ratio: 370.3459656578667, daily deaths ratio: 3.847750292549265
31: Lithuania, daily cases: +364, daily deaths: +10, population: 2,695,669, daily cases ratio: 135.0314152071341, daily deaths ratio: 3.709654263932256
32: Spain, daily cases: +5,348, daily deaths: +173, population: 46,767,398, daily cases ratio: 114.35316542519642, daily deaths ratio: 3.6991581186535116
33: Austria, daily cases: +3,126, daily deaths: +33, population: 9,042,127, daily cases ratio: 345.71511769299417, daily deaths ratio: 3.6495837760296888
34: Ecuador, daily cases: +1,259, daily deaths: +65, population: 17,828,490, daily cases ratio: 70.61730971046903, daily deaths ratio: 3.6458499850520147
35: Paraguay, daily cases: +1,766, daily deaths: +25, population: 7,193,267, daily cases ratio: 245.50736125879936, daily deaths ratio: 3.4754722715005575
36: Sweden, daily cases: None, daily deaths: +35, population: 10,143,038, daily cases ratio: 0, daily deaths ratio: 3.450642696990783
37: Russia, daily cases: +9,794, daily deaths: +486, population: 145,978,069, daily cases ratio: 67.0922698669209, daily deaths ratio: 3.3292672202699163
38: Palestine, daily cases: +1,983, daily deaths: +17, population: 5,183,161, daily cases ratio: 382.58506729773586, daily deaths ratio: 3.279851812436465
39: Georgia, daily cases: +332, daily deaths: +12, population: 3,983,826, daily cases ratio: 83.33697305052982, daily deaths ratio: 3.0121797488143307
40: Serbia, daily cases: +4,668, daily deaths: +26, population: 8,712,801, daily cases ratio: 535.7634129368959, daily deaths ratio: 2.984114982082111
41: Croatia, daily cases: +823, daily deaths: +12, population: 4,087,578, daily cases ratio: 201.34172363194048, daily deaths ratio: 2.935723795362437
42: Germany, daily cases: +12,786, daily deaths: +230, population: 83,970,413, daily cases ratio: 152.26791846313773, daily deaths ratio: 2.7390600067669073
43: UK, daily cases: +6,609, daily deaths: +175, population: 68,134,001, daily cases ratio: 97.00002793025467, daily deaths ratio: 2.5684679812066227
44: Namibia, daily cases: +179, daily deaths: +6, population: 2,572,709, daily cases ratio: 69.57646589645388, daily deaths ratio: 2.3321720412219182
45: Panama, daily cases: +451, daily deaths: +9, population: 4,361,767, daily cases ratio: 103.39846213701925, daily deaths ratio: 2.063383945084641
46: Belgium, daily cases: +3,503, daily deaths: +23, population: 11,624,713, daily cases ratio: 301.34077288617794, daily deaths ratio: 1.9785434702775029
47: Argentina, daily cases: +7,849, daily deaths: +85, population: 45,483,666, daily cases ratio: 172.56744432166042, daily deaths ratio: 1.868802747782028
48: Kuwait, daily cases: +1,356, daily deaths: +8, population: 4,314,295, daily cases ratio: 314.30395927955783, daily deaths ratio: 1.8543006447171555
49: Ireland, daily cases: +641, daily deaths: +9, population: 4,976,038, daily cases ratio: 128.81734424053835, daily deaths ratio: 1.8086678598515527
50: Colombia, daily cases: +4,078, daily deaths: +92, population: 51,259,107, daily cases ratio: 79.55659469448034, daily deaths ratio: 1.7948030191005864
51: Uruguay, daily cases: +1,357, daily deaths: +6, population: 3,482,108, daily cases ratio: 389.70646516420516, daily deaths ratio: 1.7230941716914008
52: Jamaica, daily cases: +419, daily deaths: +5, population: 2,970,159, daily cases ratio: 141.06988885106824, daily deaths ratio: 1.6834115614685947
53: Cyprus, daily cases: +383, daily deaths: +2, population: 1,213,465, daily cases ratio: 315.6250901344497, daily deaths ratio: 1.6481727944357687
54: Bolivia, daily cases: +778, daily deaths: +19, population: 11,783,318, daily cases ratio: 66.0255456060848, daily deaths ratio: 1.6124490572180092
55: Switzerland, daily cases: +1,333, daily deaths: +14, population: 8,698,595, daily cases ratio: 153.24313869078858, daily deaths ratio: 1.6094553200833008
56: Netherlands, daily cases: +6,026, daily deaths: +26, population: 17,161,273, daily cases ratio: 351.1394521839959, daily deaths ratio: 1.515039123263175
57: Portugal, daily cases: +577, daily deaths: +15, population: 10,175,962, daily cases ratio: 56.702255767071456, daily deaths ratio: 1.474062108329414
58: Israel, daily cases: +1,948, daily deaths: +13, population: 9,197,590 , daily cases ratio: 211.79461141451182, daily deaths ratio: 1.4134137312056745
59: Armenia, daily cases: +818, daily deaths: +4, population: 2,967,100, daily cases ratio: 275.690067742914, daily deaths ratio: 1.348117690674396
60: Tunisia, daily cases: +640, daily deaths: +16, population: 11,904,413, daily cases ratio: 53.76157564425898, daily deaths ratio: 1.3440393911064745
61: Gabon, daily cases: +347, daily deaths: +3, population: 2,261,930, daily cases ratio: 153.4088145963845, daily deaths ratio: 1.3263009907468402
62: Libya, daily cases: +972, daily deaths: +8, population: 6,936,016, daily cases ratio: 140.1380850332525, daily deaths ratio: 1.1533998768168932
63: South Africa, daily cases: +1,225, daily deaths: +69, population: 59,826,923, daily cases ratio: 20.475731302443883, daily deaths ratio: 1.1533269060152065
64: Bahrain, daily cases: +744, daily deaths: +2, population: 1,742,099, daily cases ratio: 427.07102179612065, daily deaths ratio: 1.1480403811723674
65: Honduras, daily cases: +985, daily deaths: +10, population: 10,013,604, daily cases ratio: 98.36618264512957, daily deaths ratio: 0.9986414481739042
66: UAE, daily cases: +2,250, daily deaths: +9, population: 9,973,240, daily cases ratio: 225.6037155427925, daily deaths ratio: 0.9024148621711701
67: Canada, daily cases: +3,476, daily deaths: +33, population: 37,971,911, daily cases ratio: 91.54135013115354, daily deaths ratio: 0.869063450612217
68: Belarus, daily cases: +1,186, daily deaths: +8, population: 9,447,156, daily cases ratio: 125.54042719311505, daily deaths ratio: 0.8468156977613157
69: Guatemala, daily cases: +831, daily deaths: +15, population: 18,144,574, daily cases ratio: 45.79881566797876, daily deaths ratio: 0.8266934236097249
70: Dominican Republic, daily cases: +529, daily deaths: +9, population: 10,923,394, daily cases ratio: 48.42817168363606, daily deaths ratio: 0.8239197450902165
71: Philippines, daily cases: +4,571, daily deaths: +87, population: 110,591,530, daily cases ratio: 41.33227924416997, daily deaths ratio: 0.7866786904928433
72: Turkey, daily cases: +14,941, daily deaths: +66, population: 84,968,579, daily cases ratio: 175.84147193988028, daily deaths ratio: 0.7767577235815606
73: El Salvador, daily cases: +133, daily deaths: +5, population: 6,508,966, daily cases ratio: 20.433353008757457, daily deaths ratio: 0.7681711657427617
74: Indonesia, daily cases: +6,412, daily deaths: +180, population: 275,530,076, daily cases ratio: 23.271506664847724, daily deaths ratio: 0.6532862132989068
75: Iran, daily cases: +8,088, daily deaths: +53, population: 84,737,946, daily cases ratio: 95.44720378282476, daily deaths ratio: 0.6254576904660871
